market_hash_name,currency,min_price,max_price,mean_price,median_price,quantity_sold,source,scraped_at
M4A1-S | Leaded Glass (Field-Tested),USD,14.68,14.68,14.68,14.68,289,steam_market,2026-04-27T09:42:28.202085+00:00
AK-47 | Safety Net (Field-Tested),USD,4.18,4.18,4.18,4.18,769,steam_market,2026-04-27T09:42:28.202092+00:00
Galil AR | Galigator (Minimal Wear),USD,3.19,3.19,3.19,3.19,168,steam_market,2026-04-27T09:42:28.202099+00:00
FAMAS | Doomkitty (Minimal Wear),USD,27.9,27.9,27.9,27.9,47,steam_market,2026-04-27T09:42:30.968947+00:00
AK-47 | Uncharted (Field-Tested),USD,0.92,0.92,0.92,0.92,4774,steam_market,2026-04-27T09:42:30.968977+00:00
AK-47 | Crane Flight (Battle-Scarred),USD,24.86,24.86,24.86,24.86,125,steam_market,2026-04-27T09:42:30.968986+00:00
M4A1-S | Liquidation (Minimal Wear),USD,6.7,6.7,6.7,6.7,1352,steam_market,2026-04-27T09:42:30.968993+00:00
StatTrak™ M4A1-S | Night Terror (Field-Tested),USD,2.69,2.69,2.69,2.69,1164,steam_market,2026-04-27T09:42:30.969001+00:00
Galil AR | Galigator (Field-Tested),USD,1.76,1.76,1.76,1.76,166,steam_market,2026-04-27T09:42:30.969009+00:00
AK-47 | Frontside Misty (Field-Tested),USD,26.45,26.45,26.45,26.45,411,steam_market,2026-04-27T09:42:30.969080+00:00
AK-47 | Aphrodite (Well-Worn),USD,21.51,21.51,21.51,21.51,669,steam_market,2026-04-27T09:42:30.969088+00:00
Galil AR | Connexion (Field-Tested),USD,0.65,0.65,0.65,0.65,1675,steam_market,2026-04-27T09:42:30.969096+00:00
AK-47 | Ice Coaled (Battle-Scarred),USD,5.88,5.88,5.88,5.88,525,steam_market,2026-04-27T09:42:30.969102+00:00
Galil AR | Galigator (Factory New),USD,10.65,10.65,10.65,10.65,81,steam_market,2026-04-27T09:42:32.779400+00:00
AK-47 | Breakthrough (Battle-Scarred),USD,3.86,3.86,3.86,3.86,160,steam_market,2026-04-27T09:42:32.779430+00:00
AK-47 | Point Disarray (Battle-Scarred),USD,19.72,19.72,19.72,19.72,77,steam_market,2026-04-27T09:42:32.779438+00:00
AK-47 | Searing Rage (Well-Worn),USD,6.32,6.32,6.32,6.32,485,steam_market,2026-04-27T09:42:32.779445+00:00
M4A1-S | Emphorosaur-S (Field-Tested),USD,0.7,0.7,0.7,0.7,7054,steam_market,2026-04-27T09:42:32.779476+00:00
AK-47 | Elite Build (Field-Tested),USD,3.16,3.16,3.16,3.16,2143,steam_market,2026-04-27T09:42:32.779484+00:00
M4A1-S | Night Terror (Minimal Wear),USD,1.43,1.43,1.43,1.43,1913,steam_market,2026-04-27T09:42:32.779490+00:00
AK-47 | Searing Rage (Battle-Scarred),USD,5.99,5.99,5.99,5.99,391,steam_market,2026-04-27T09:42:32.779496+00:00
M4A1-S | Nitro (Field-Tested),USD,0.69,0.69,0.69,0.69,9057,steam_market,2026-04-27T09:42:32.779502+00:00
FAMAS | Rapid Eye Movement (Field-Tested),USD,9.24,9.24,9.24,9.24,695,steam_market,2026-04-27T09:42:32.779507+00:00
M4A1-S | Electrum (Factory New),USD,17.33,17.33,17.33,17.33,159,steam_market,2026-04-27T09:42:39.170100+00:00
FAMAS | Rapid Eye Movement (Well-Worn),USD,8.98,8.98,8.98,8.98,580,steam_market,2026-04-27T09:42:39.170125+00:00
M4A4 | Desolate Space (Battle-Scarred),USD,16.82,16.82,16.82,16.82,93,steam_market,2026-04-27T09:42:39.170129+00:00
FAMAS | 2A2F (Field-Tested),USD,0.81,0.81,0.81,0.81,530,steam_market,2026-04-27T09:42:39.170132+00:00
AK-47 | Safari Mesh (Field-Tested),USD,0.1,0.1,0.1,0.1,22138,steam_market,2026-04-27T09:42:39.170135+00:00
AK-47 | Nouveau Rouge (Well-Worn),USD,15.0,15.0,15.0,15.0,264,steam_market,2026-04-27T09:42:39.170138+00:00
SG 553 | Tiger Moth (Well-Worn),USD,2.22,2.22,2.22,2.22,50,steam_market,2026-04-27T09:42:39.170141+00:00
M4A1-S | Glitched Paint (Factory New),USD,18.91,18.91,18.91,18.91,266,steam_market,2026-04-27T09:42:39.170150+00:00
M4A4 | Desolate Space (Field-Tested),USD,20.82,20.82,20.82,20.82,400,steam_market,2026-04-27T09:42:39.170153+00:00
SG 553 | Cyrex (Field-Tested),USD,7.38,7.38,7.38,7.38,92,steam_market,2026-04-27T09:42:39.170155+00:00
M4A1-S | Emphorosaur-S (Minimal Wear),USD,1.45,1.45,1.45,1.45,1644,steam_market,2026-04-27T09:42:42.622420+00:00
M4A1-S | Mud-Spec (Field-Tested),USD,0.57,0.57,0.57,0.57,1386,steam_market,2026-04-27T09:42:42.622449+00:00
AK-47 | Crossfade (Field-Tested),USD,3.24,3.24,3.24,3.24,708,steam_market,2026-04-27T09:42:42.622490+00:00
M4A1-S | Night Terror (Battle-Scarred),USD,1.11,1.11,1.11,1.11,2599,steam_market,2026-04-27T09:42:42.622499+00:00
M4A1-S | Liquidation (Field-Tested),USD,3.65,3.65,3.65,3.65,1362,steam_market,2026-04-27T09:42:42.622504+00:00
AK-47 | Ice Coaled (Minimal Wear),USD,11.8,11.8,11.8,11.8,1058,steam_market,2026-04-27T09:42:42.622510+00:00
AK-47 | Elite Build (Battle-Scarred),USD,2.33,2.33,2.33,2.33,1267,steam_market,2026-04-27T09:42:42.622537+00:00
AK-47 | The Outsiders (Field-Tested),USD,10.97,10.97,10.97,10.97,419,steam_market,2026-04-27T09:42:42.622544+00:00
StatTrak™ AK-47 | Ice Coaled (Battle-Scarred),USD,14.78,14.78,14.78,14.78,82,steam_market,2026-04-27T09:42:42.622550+00:00
AUG | Eye of Zapems (Field-Tested),USD,4.94,4.94,4.94,4.94,423,steam_market,2026-04-27T09:42:42.622556+00:00
M4A4 | Etch Lord (Minimal Wear),USD,1.62,1.62,1.62,1.62,683,steam_market,2026-04-27T09:42:44.430660+00:00
StatTrak™ M4A4 | Etch Lord (Field-Tested),USD,2.39,2.39,2.39,2.39,592,steam_market,2026-04-27T09:42:44.430688+00:00
