timestamp,price_dollar,sells
1574125200000,1.028,22
1574211600000,1.172,18
1574298000000,1.167,27
1574384400000,1.047,23
1574470800000,1.35,17
1574557200000,1.318,13
1574643600000,1.068,12
1574730000000,1.458,29
1574816400000,0.633,63
1574902800000,0.595,50
1574989200000,0.695,29
1575075600000,0.744,20
1575162000000,0.823,32
1575248400000,0.759,17
1575334800000,0.781,26
1575421200000,0.888,30
1575507600000,1.052,12
1575594000000,0.96,11
1575680400000,0.966,14
1575766800000,0.975,13
1575853200000,0.874,11
1575939600000,0.859,11
1576026000000,0.895,15
1576112400000,0.869,13
1576198800000,1.056,15
1576285200000,0.851,12
1576371600000,1.054,15
1576458000000,0.932,7
1576544400000,0.894,14
1576630800000,0.851,11
1576717200000,0.832,7
1576803600000,0.838,9
1576890000000,1.051,12
1576976400000,0.694,6
1577062800000,0.981,11
1577149200000,0.869,14
1577235600000,0.881,17
1577322000000,0.893,9
1577408400000,0.829,3
1577494800000,0.889,7
1577581200000,0.934,15
1577667600000,0.836,10
1577754000000,0.882,6
1577840400000,0.955,8
1577926800000,0.839,15
1578013200000,0.974,18
1578099600000,0.859,12
1578186000000,1.108,11
1578272400000,1.07,10
1578358800000,1.291,5
1578445200000,0.94,12
1578531600000,0.948,5
1578618000000,0.982,15
1578704400000,0.962,15
1578790800000,3.171,13
1578877200000,1.145,10
1578963600000,1.097,8
1579050000000,0.945,36
1579136400000,0.908,36
1579222800000,0.897,29
1579309200000,0.875,14
1579395600000,0.825,20
1579482000000,0.802,15
1579568400000,0.825,14
1579654800000,0.807,16
1579741200000,0.824,14
1579827600000,0.833,16
1579914000000,0.771,15
1580000400000,0.706,13
1580086800000,0.685,17
1580173200000,0.79,20
1580259600000,0.706,15
1580346000000,0.773,13
1580432400000,0.782,18
1580518800000,0.699,22
1580605200000,0.779,16
1580691600000,1.782,15
1580778000000,1.011,29
1580864400000,1.06,20
1580950800000,0.984,8
1581037200000,0.941,18
1581123600000,0.909,23
1581210000000,0.926,22
1581296400000,0.855,11
1581382800000,0.793,11
1581469200000,0.886,23
1581555600000,0.837,15
1581642000000,0.887,14
1581728400000,0.902,14
1581814800000,0.882,18
1581901200000,0.794,18
1581987600000,1.581,21
1582074000000,0.802,26
1582160400000,0.815,18
1582246800000,0.845,15
1582333200000,0.849,18
1582419600000,0.805,18
1582506000000,0.747,28
1582592400000,0.787,23
1582678800000,0.763,63
1582765200000,0.857,34
1582851600000,0.781,44
1582938000000,0.936,43
1583024400000,0.91,43
1583110800000,0.925,19
1583197200000,1.18,41
1583283600000,0.876,29
1583370000000,0.889,42
1583456400000,0.952,42
1583542800000,1.104,21
1583629200000,1.025,28
1583715600000,0.917,35
1583802000000,0.884,21
1583888400000,0.988,26
1583974800000,0.887,30
1584061200000,0.927,25
1584147600000,0.885,25
1584234000000,0.867,26
1584320400000,0.864,24
1584406800000,0.787,17
1584493200000,0.783,21
1584579600000,0.764,20
1584666000000,0.688,20
1584752400000,0.69,14
1584838800000,0.702,28
1584925200000,0.673,15
1585011600000,0.667,22
1585098000000,0.683,20
1585184400000,0.919,27
1585270800000,0.734,28
1585357200000,0.699,23
1585443600000,0.919,29
1585530000000,0.921,28
1585616400000,0.71,38
1585702800000,0.714,43
1585789200000,0.693,22
1585875600000,0.652,30
1585962000000,0.713,19
1586048400000,0.808,22
1586134800000,0.692,22
1586221200000,0.815,15
1586307600000,0.692,22
1586394000000,0.757,21
1586480400000,0.779,20
1586566800000,0.711,26
1586653200000,0.738,22
1586739600000,0.738,15
1586826000000,0.711,11
1586912400000,0.694,15
1586998800000,0.697,12
1587085200000,0.697,27
1587171600000,0.787,15
1587258000000,0.987,12
1587344400000,0.726,10
1587430800000,0.688,10
1587517200000,0.684,13
1587603600000,0.775,13
1587690000000,0.687,9
1587776400000,0.679,20
1587862800000,0.662,21
1587949200000,0.708,9
1588035600000,0.713,9
1588122000000,0.752,31
1588208400000,0.786,14
1588294800000,0.71,11
1588381200000,0.767,12
1588467600000,0.691,5
1588554000000,0.669,18
1588640400000,0.718,8
1588726800000,0.782,10
1588813200000,0.725,9
1588899600000,0.716,11
1588986000000,0.704,12
1589072400000,0.89,9
1589158800000,0.832,16
1589245200000,0.727,11
1589331600000,0.731,10
1589418000000,0.748,21
1589504400000,0.852,8
1589590800000,0.757,9
1589677200000,0.806,15
1589763600000,0.702,7
1589850000000,0.738,10
1589936400000,0.776,9
1590022800000,0.795,8
1590109200000,0.808,8
1590195600000,0.813,11
1590282000000,0.828,7
1590368400000,0.719,5
1590454800000,1.012,9
1590541200000,0.906,7
1590627600000,1.011,12
1590714000000,0.939,6
1590800400000,0.987,11
1590886800000,0.957,8
1590973200000,0.962,10
1591059600000,0.925,8
1591146000000,1.118,36
1591232400000,2.173,5
1591318800000,1.082,6
1591405200000,1.109,7
1591491600000,1.119,8
1591578000000,1.097,4
1591664400000,1.056,6
1591750800000,1.006,8
1591837200000,1.057,5
1591923600000,1.018,8
1592010000000,0.985,6
1592096400000,1.069,9
1592182800000,1.038,6
1592269200000,1.048,5
1592355600000,1.14,5
1592442000000,1.017,8
1592528400000,1.126,2
1592614800000,1.101,8
1592701200000,1.115,12
1592787600000,1.085,6
1592874000000,1.168,4
1592960400000,1.014,7
1593046800000,1.017,3
1593133200000,1.024,20
1593219600000,2.781,10
1593306000000,0.965,9
1593392400000,1.02,2
1593478800000,1.002,3
1593565200000,1.001,8
1593651600000,1.001,7
1593738000000,1.003,3
1593824400000,1.073,8
1593910800000,1.033,7
1593997200000,1.011,2
1594083600000,1.01,6
1594170000000,1.07,2
1594256400000,1.076,4
1594342800000,1.355,10
1594429200000,1.292,3
1594515600000,1.078,8
1594602000000,1.803,5
1594688400000,1.067,4
1594774800000,0.956,3
1594861200000,1.109,5
1594947600000,2.1,2
1595034000000,1.081,7
1595120400000,1.226,6
1595206800000,1.224,10
1595293200000,1.186,1
1595379600000,1.076,5
1595466000000,2.362,3
1595552400000,1.035,2
1595638800000,0.867,3
1595725200000,1.112,4
1595811600000,1.159,7
1595898000000,1.124,9
1595984400000,1.166,3
1596070800000,1.22,4
1596157200000,1.05,1
1596243600000,1.252,4
1596330000000,1.232,2
1596416400000,1.213,3
1596589200000,1.111,4
1596675600000,1.175,2
1596762000000,1.144,7
1596848400000,1.21,8
1596934800000,1.19,7
1597021200000,1.28,3
1597107600000,1.042,4
1597194000000,1.128,3
1597280400000,1.094,4
1597366800000,1.16,6
1597453200000,1.211,4
1597539600000,1.297,3
1597626000000,2.27,3
1597712400000,1.13,3
1597798800000,1.1,3
1597885200000,1.126,6
1597971600000,1.173,8
1598058000000,1.171,5
1598144400000,1.28,4
1598230800000,1.08,3
1598317200000,1.138,4
1598403600000,1.124,4
1598490000000,1.091,2
1598576400000,1.265,1
1598662800000,1.256,3
1598749200000,1.47,1
1598835600000,1.153,3
1598922000000,1.161,5
1599008400000,1.169,3
1599094800000,1.148,4
1599181200000,1.091,5
1599267600000,1.237,1
1599354000000,1.768,5
1599440400000,1.522,14
1599526800000,1.232,2
1599613200000,1.179,5
1599699600000,1.118,6
1599786000000,1.251,4
1599872400000,1.274,3
1599958800000,1.167,3
1600045200000,1.574,3
1600131600000,1.07,3
1600218000000,1.113,7
1600304400000,1.117,2
1600390800000,1.114,12
1600477200000,1.142,3
1600563600000,1.525,3
1600650000000,0.995,8
1600736400000,1.012,5
1600822800000,0.865,2
1600909200000,1.013,5
1600995600000,0.968,8
1601082000000,0.926,7
1601168400000,1.035,1
1601254800000,0.984,3
1601341200000,1.016,3
1601427600000,1.028,4
1601514000000,1.035,4
1601686800000,1.096,3
1601773200000,1.172,6
1601859600000,1.129,2
1601946000000,1.115,1
1602032400000,1.117,12
1602118800000,1.031,3
1602205200000,0.95,1
1602291600000,1.109,4
1602378000000,1.025,14
1602464400000,0.988,2
1602550800000,1.155,2
1602637200000,1.174,1
1602723600000,1.1,3
1602810000000,1.075,5
1602896400000,1.2,8
1602982800000,1.063,5
1603069200000,1.197,5
1603155600000,1.103,10
1603242000000,1.072,3
1603328400000,1.126,5
1603414800000,1.224,2
1603501200000,1.195,7
1603587600000,1.08,1
1603674000000,1.026,5
1603760400000,1.41,6
1603846800000,1.184,4
1603933200000,1.04,3
1604019600000,1.062,4
1604106000000,1.068,8
1604192400000,1.091,1
1604278800000,1.034,4
1604451600000,1.105,4
1604538000000,1.039,3
1604624400000,1.079,7
1604710800000,1.037,8
1604797200000,1.074,5
1604883600000,1.187,4
1604970000000,1.1,1
1605056400000,1.13,4
1605142800000,1.214,3
1605229200000,1.168,3
1605315600000,1.185,9
1605402000000,1.149,4
1605488400000,1.231,1
1605574800000,1.194,4
1605661200000,1.176,5
1605747600000,1.217,4
1605834000000,1.211,5
1605920400000,1.199,1
1606006800000,1.181,6
1606093200000,1.037,4
1606266000000,1.199,2
1606352400000,1.175,5
1606438800000,1.029,4
1606525200000,0.96,1
1606611600000,1.46,4
1606698000000,1.055,9
1606784400000,1.337,5
1606870800000,1.008,4
1606957200000,1.077,8
1607043600000,0.998,9
1607130000000,0.985,2
1607216400000,0.986,10
1607302800000,0.939,7
1607389200000,1.078,4
1607475600000,1.019,4
1607562000000,0.925,10
1607648400000,0.905,5
1607734800000,0.905,6
1607821200000,0.916,3
1607907600000,0.855,2
1607994000000,0.851,7
1608080400000,0.914,2
1608166800000,0.951,5
1608253200000,0.893,10
1608339600000,0.887,5
1608426000000,1.27,7
1608512400000,0.939,9
1608598800000,0.937,3
1608685200000,0.867,10
1608771600000,0.908,4
1608858000000,0.973,6
1608944400000,1.038,5
1609030800000,1.143,2
1609117200000,0.906,5
1609203600000,0.911,2
1609290000000,0.843,2
1609376400000,0.875,4
1609462800000,0.935,4
1609549200000,0.886,11
1609635600000,0.962,7
1609722000000,0.799,1
1609808400000,0.88,2
1609894800000,0.854,7
1609981200000,0.905,6
1610067600000,0.886,7
1610154000000,1.063,13
1610240400000,1.09,1
1610326800000,1.085,2
1610413200000,1.096,5
1610499600000,1.018,5
1610586000000,1.034,4
1610672400000,1.112,3
1610758800000,1.196,5
1610845200000,1.133,3
1610931600000,0.999,6
1611018000000,0.96,3
