timestamp,price_dollar,sells
1632272400000,0.797,398
1632358800000,0.996,244
1632445200000,1.094,212
1632531600000,1.174,188
1632618000000,1.183,143
1632704400000,1.173,157
1632790800000,1.129,166
1632877200000,1.006,216
1632963600000,0.941,158
1633050000000,0.928,121
1633136400000,0.899,138
1633222800000,0.867,121
1633309200000,0.907,109
1633395600000,0.942,158
1633482000000,0.868,199
1633568400000,0.91,158
1633654800000,0.951,149
1633741200000,0.942,127
1633827600000,0.93,127
1633914000000,0.883,132
1634000400000,0.897,126
1634086800000,0.789,151
1634173200000,0.719,151
1634259600000,0.787,127
1634346000000,0.801,120
1634432400000,0.754,96
1634518800000,0.774,75
1634605200000,0.735,103
1634691600000,0.682,146
1634778000000,0.728,117
1634864400000,0.602,142
1634950800000,0.593,162
1635037200000,0.586,104
1635123600000,0.611,121
1635210000000,0.607,90
1635296400000,0.555,156
1635382800000,0.607,170
1635469200000,0.635,109
1635555600000,0.644,120
1635642000000,0.649,91
1635728400000,0.669,84
1635814800000,0.703,105
1635901200000,0.673,173
1635987600000,0.667,101
1636074000000,0.665,121
1636160400000,0.661,92
1636246800000,0.66,106
1636333200000,0.623,73
1636419600000,0.648,80
1636506000000,0.56,154
1636592400000,0.574,125
1636678800000,0.565,90
1636765200000,0.568,106
1636851600000,0.562,95
1636938000000,0.55,84
1637024400000,0.588,75
1637110800000,0.563,128
1637197200000,0.557,174
1637283600000,0.595,100
1637370000000,0.612,111
1637456400000,0.594,73
1637542800000,0.627,87
1637629200000,0.606,71
1637715600000,0.603,111
1637802000000,0.578,89
1637888400000,0.56,122
1637974800000,0.568,117
1638061200000,0.555,98
1638147600000,0.566,76
1638234000000,0.553,133
1638320400000,0.502,171
1638406800000,0.5,109
1638493200000,0.523,97
1638579600000,0.591,89
1638666000000,0.612,96
1638752400000,0.635,67
1638838800000,0.671,100
1638925200000,0.685,128
1639011600000,0.67,96
1639098000000,0.658,116
1639184400000,0.671,94
1639270800000,0.639,83
1639357200000,0.647,89
1639443600000,0.661,86
1639530000000,0.652,142
1639616400000,0.639,77
1639702800000,0.618,76
1639789200000,0.595,75
1639875600000,0.593,83
1639962000000,0.549,68
1640048400000,0.553,49
1640134800000,0.544,112
1640221200000,0.558,105
1640307600000,0.599,104
1640394000000,0.617,78
1640480400000,0.562,88
1640566800000,0.555,76
1640653200000,0.577,109
1640739600000,0.559,166
1640826000000,0.546,140
1640912400000,0.553,95
1640998800000,0.572,125
1641085200000,0.586,146
1641171600000,0.627,128
1641258000000,0.626,124
1641344400000,0.611,271
1641430800000,0.635,174
1641517200000,0.664,118
1641603600000,0.631,141
1641690000000,0.642,162
1641776400000,0.632,96
1641862800000,0.658,69
1641949200000,0.656,94
1642035600000,0.676,104
1642122000000,0.648,91
1642208400000,0.625,129
1642294800000,0.624,94
1642381200000,0.613,93
1642467600000,0.598,92
1642554000000,0.588,91
1642640400000,0.593,57
1642726800000,0.571,125
1642813200000,0.585,108
1642899600000,0.595,140
1642986000000,0.579,70
1643072400000,0.598,95
1643158800000,0.619,89
1643245200000,0.597,91
1643331600000,0.608,95
1643418000000,0.64,137
1643504400000,0.625,101
1643590800000,0.577,82
1643677200000,0.568,85
1643763600000,0.584,82
1643850000000,0.582,84
1643936400000,0.616,102
1644022800000,0.644,90
1644109200000,0.653,68
1644195600000,0.659,76
1644282000000,0.672,66
1644368400000,0.674,60
1644454800000,0.669,59
1644541200000,0.657,53
1644627600000,0.678,78
1644714000000,0.718,100
1644800400000,0.71,50
1644886800000,0.727,49
1644973200000,0.738,29
1645059600000,0.746,66
1645146000000,0.761,74
1645232400000,0.776,74
1645318800000,0.782,68
1645405200000,0.782,72
1645491600000,0.783,51
1645578000000,0.809,39
1645664400000,0.823,36
1645750800000,0.842,63
1645837200000,0.837,32
1645923600000,0.848,49
1646010000000,0.857,42
1646096400000,0.847,42
1646182800000,0.81,37
1646269200000,0.798,45
1646355600000,0.844,42
1646442000000,0.846,36
1646528400000,0.875,40
1646614800000,0.875,29
1646701200000,0.879,39
1646787600000,0.843,28
1646874000000,0.833,31
1646960400000,0.904,34
1647046800000,0.926,25
1647133200000,0.875,24
1647219600000,0.862,23
1647306000000,0.951,59
1647392400000,0.916,35
1647478800000,0.89,37
1647565200000,0.875,20
1647651600000,0.891,21
1647738000000,0.888,37
1647824400000,0.886,31
1647910800000,0.922,16
1647997200000,0.892,28
1648083600000,0.892,31
1648170000000,0.883,24
1648256400000,0.934,24
1648342800000,0.919,26
1648429200000,0.896,7
1648515600000,0.918,12
1648602000000,0.927,34
1648688400000,1.028,15
1648774800000,0.966,12
1648861200000,0.943,10
1648947600000,0.943,13
1649034000000,0.938,28
1649120400000,0.828,10
1649206800000,0.947,19
1649293200000,0.909,15
1649379600000,0.935,17
1649466000000,0.985,22
1649552400000,0.977,15
1649638800000,1.022,22
1649725200000,0.934,16
1649811600000,0.979,29
1649898000000,0.999,18
1649984400000,1.063,18
1650070800000,0.993,19
1650157200000,0.902,20
1650243600000,0.911,26
1650330000000,0.997,19
1650416400000,0.885,4
1650502800000,0.918,21
1650589200000,0.971,21
1650675600000,0.905,30
1650762000000,0.928,21
1650848400000,0.987,6
1650934800000,0.915,19
1651021200000,0.912,31
1651107600000,0.948,18
1651194000000,0.928,7
1651280400000,0.961,16
1651366800000,0.957,17
1651453200000,0.963,22
1651539600000,0.941,13
1651626000000,0.879,42
1651712400000,0.854,58
1651798800000,0.791,17
1651885200000,0.825,19
1651971600000,0.774,68
1652058000000,0.765,11
1652144400000,0.749,11
1652230800000,0.806,33
1652317200000,0.815,41
1652403600000,0.828,23
1652490000000,0.801,19
1652576400000,0.788,6
1652662800000,0.738,11
1652749200000,0.775,18
1652835600000,0.768,19
1652922000000,0.768,23
1653008400000,0.734,12
1653094800000,0.737,23
1653181200000,0.69,14
1653267600000,0.751,14
1653354000000,0.73,35
1653440400000,0.809,27
1653526800000,0.757,32
1653613200000,0.783,45
1653699600000,0.786,24
1653786000000,0.76,22
1653872400000,0.805,30
1653958800000,0.804,9
1654045200000,0.787,12
1654131600000,0.828,12
1654218000000,0.77,19
1654304400000,0.777,13
1654390800000,0.734,32
1654477200000,0.718,8
1654563600000,0.709,24
1654650000000,0.707,15
1654736400000,0.707,17
1654822800000,0.743,15
1654909200000,0.766,20
1654995600000,0.764,8
1655082000000,0.78,29
1655168400000,0.755,15
1655254800000,0.732,9
1655341200000,0.677,14
1655427600000,0.747,31
1655514000000,0.756,12
1655600400000,0.768,19
1655686800000,0.783,14
1655773200000,0.765,13
1655859600000,0.745,12
1655946000000,0.754,19
1656032400000,0.733,28
1656118800000,0.752,9
1656205200000,0.769,29
1656291600000,0.69,13
1656378000000,0.688,9
1656464400000,0.708,25
1656550800000,0.713,15
1656637200000,0.734,10
1656723600000,0.714,15
1656810000000,0.687,4
1656896400000,0.74,13
1656982800000,0.683,14
1657069200000,0.673,13
1657155600000,0.735,20
1657242000000,0.702,31
1657328400000,0.709,19
1657414800000,0.721,14
1657501200000,0.722,12
1657587600000,0.732,7
1657674000000,0.765,30
1657760400000,0.765,10
1657846800000,0.757,13
1657933200000,0.778,18
1658019600000,0.783,15
1658106000000,0.829,32
1658192400000,0.856,12
1658278800000,0.918,15
1658365200000,0.893,11
1658451600000,0.781,7
1658538000000,0.82,5
1658624400000,0.681,3
1658710800000,0.811,22
1658797200000,0.826,9
1658883600000,0.908,4
1658970000000,0.831,13
1659056400000,0.839,12
1659142800000,0.8,13
1659229200000,0.789,8
1659315600000,0.771,4
1659402000000,0.751,20
1659488400000,0.797,11
1659574800000,0.81,40
1659661200000,0.836,11
1659747600000,0.743,9
1659834000000,0.823,21
1659920400000,0.853,8
1660006800000,0.81,7
1660093200000,0.789,8
1660179600000,0.821,22
1660266000000,0.829,12
1660352400000,0.854,3
1660438800000,0.856,36
1660525200000,0.851,7
1660611600000,0.842,6
1660698000000,0.786,9
1660784400000,0.717,9
1660870800000,0.825,6
1660957200000,0.77,9
1661043600000,0.744,15
1661130000000,0.771,21
1661216400000,0.793,9
1661302800000,0.81,24
1661389200000,0.828,38
1661475600000,0.797,10
1661562000000,0.775,5
1661648400000,0.828,10
1661821200000,0.85,7
1661907600000,0.796,10
1661994000000,0.756,6
1662080400000,0.788,10
1662166800000,0.837,7
1662253200000,0.785,18
1662339600000,0.79,3
1662426000000,0.86,7
1662512400000,0.854,18
