timestamp,price_dollar,sells
1385773200000,3.201,2
1385859600000,0.948,15
1385946000000,1.097,5
1386032400000,1.224,4
1386118800000,1.709,4
1386378000000,1.57,2
1386464400000,0.704,3
1386550800000,1.112,4
1386637200000,0.901,3
1386723600000,1.029,3
1386810000000,1.122,2
1386982800000,0.931,5
1387069200000,1.221,2
1387155600000,1.168,1
1387414800000,0.678,5
1387501200000,0.67,1
1387587600000,0.577,2
1387674000000,0.59,2
1387760400000,0.639,3
1387846800000,0.723,1
1388192400000,0.63,1
1388278800000,0.96,1
1388624400000,0.156,1
1388710800000,0.834,2
1388797200000,0.586,7
1388883600000,0.639,1
1389056400000,0.407,1
1389142800000,0.527,3
1389229200000,0.488,1
1389315600000,0.585,4
1389402000000,0.592,2
1389488400000,0.643,2
1389574800000,0.546,1
1389661200000,0.72,1
1389747600000,0.686,3
1389920400000,0.629,2
1390006800000,0.23,1
1390093200000,0.688,2
1390179600000,0.705,1
1390266000000,0.709,3
1390438800000,0.664,3
1390611600000,0.684,1
1390698000000,2.996,1
1390784400000,0.576,2
1390870800000,0.38,3
1390957200000,0.397,2
1391043600000,0.725,2
1391130000000,0.609,1
1391216400000,0.567,1
1391302800000,0.75,1
1391389200000,0.728,1
1391475600000,0.764,2
1391562000000,0.635,1
1391821200000,0.82,1
1392253200000,0.546,1
1392426000000,0.779,1
1392512400000,0.779,1
1392598800000,0.793,2
1392685200000,0.786,1
1392944400000,0.655,2
1393030800000,0.699,1
1393117200000,0.752,3
1393462800000,0.49,1
1393549200000,0.49,1
1393635600000,0.42,1
1393722000000,0.701,1
1393981200000,0.467,1
1394240400000,0.47,2
1394326800000,0.552,3
1394413200000,0.46,1
1394499600000,0.583,2
1394672400000,0.811,1
1394758800000,0.727,2
1394931600000,0.873,6
1395018000000,1.327,2
1395104400000,0.732,4
1395190800000,0.42,1
1395277200000,1.383,2
1395363600000,0.692,1
1395450000000,0.69,1
1395536400000,0.372,3
1395622800000,0.534,3
1395709200000,0.704,2
1395795600000,0.116,1
1395882000000,0.646,4
1395968400000,0.687,1
1396054800000,0.581,2
1396141200000,0.646,1
1396227600000,0.649,4
1396400400000,0.634,3
1396659600000,0.465,1
1396746000000,0.657,1
1396832400000,0.581,2
1397005200000,0.315,1
1397178000000,0.663,4
1397350800000,0.595,2
1397523600000,0.703,1
1397610000000,0.672,2
1397696400000,0.818,4
1397782800000,0.79,2
1397869200000,0.854,2
1397955600000,0.801,1
1398042000000,0.923,4
1398128400000,1.035,1
1398214800000,0.869,1
1398301200000,1.032,1
1398387600000,0.933,2
1398560400000,0.965,4
1398733200000,0.847,4
1398819600000,1.047,3
1398992400000,0.953,1
1399251600000,0.385,2
1399424400000,0.793,1
1399597200000,0.75,1
1399683600000,0.688,3
1399770000000,0.63,2
1399856400000,0.592,1
1399942800000,0.334,1
1400029200000,0.699,1
1400115600000,0.509,5
1400202000000,0.808,4
1400288400000,0.41,1
1400374800000,0.699,1
1400461200000,0.689,4
1400547600000,0.58,2
1400634000000,0.719,6
1400720400000,0.995,1
1400806800000,0.775,3
1400893200000,0.626,1
1400979600000,0.694,1
1401066000000,0.756,2
1401152400000,0.566,2
1401238800000,0.685,7
1401325200000,1.273,2
1401411600000,0.68,4
1401498000000,0.687,3
1401670800000,0.716,3
1401843600000,0.328,1
1401930000000,0.746,1
1402016400000,0.66,1
1402102800000,0.557,2
1402189200000,0.584,2
1402275600000,0.669,3
1402362000000,0.52,1
1402448400000,0.511,3
1402534800000,0.571,2
1402621200000,0.555,5
1402707600000,0.819,2
1402880400000,0.865,1
1402966800000,1.08,1
1403053200000,1.046,2
1403139600000,0.468,1
1403226000000,0.604,3
1403312400000,0.86,1
1403398800000,1.373,1
1403485200000,0.606,4
1403571600000,0.816,2
1403744400000,0.946,2
1403830800000,0.681,1
1404003600000,0.668,3
1404090000000,0.54,2
1404176400000,0.985,2
1404262800000,0.628,1
1404349200000,0.583,3
1404435600000,0.75,2
1404522000000,0.651,1
1404608400000,0.693,3
1404694800000,0.92,6
1404781200000,1.342,2
1404867600000,0.388,1
1404954000000,0.779,1
1405040400000,0.787,1
1405213200000,0.662,2
1405299600000,0.817,4
1405472400000,0.623,2
1405558800000,0.808,3
1405731600000,0.847,2
1405818000000,0.732,1
1405904400000,0.932,3
1405990800000,1.371,2
1406077200000,0.805,4
1406163600000,2.475,3
1406250000000,0.814,2
1406336400000,1.007,1
1406682000000,0.849,3
1406768400000,0.946,3
1406854800000,0.773,3
1406941200000,1.082,2
1407114000000,0.834,7
1407200400000,0.764,2
1407286800000,0.7,1
1407373200000,0.839,4
1407459600000,1.009,1
1407546000000,0.859,5
1407718800000,0.796,2
1407805200000,0.882,2
1407891600000,1.221,3
1407978000000,0.815,1
1408064400000,0.856,2
1408150800000,0.763,1
1408323600000,0.627,3
1408410000000,0.75,1
1408582800000,0.69,1
1408669200000,0.81,1
1408755600000,0.71,2
1408842000000,0.769,1
1408928400000,0.795,1
1409101200000,0.785,5
1409187600000,0.963,3
1409274000000,0.863,2
1409360400000,0.83,4
1409533200000,0.93,1
1409619600000,1.203,4
1409706000000,0.863,2
1409792400000,0.666,1
1409965200000,0.98,1
1410051600000,0.994,3
1410138000000,0.48,2
1410224400000,1.119,1
1410310800000,1.01,1
1410483600000,1.02,3
1410570000000,1,1
1410656400000,1.04,1
1410829200000,1.034,2
1410915600000,0.89,1
1411002000000,1.012,1
1411088400000,1.2,1
1411174800000,0.862,4
1411261200000,1.076,3
1411347600000,2.705,2
1411434000000,1.23,2
1411520400000,1.229,5
1411606800000,1.5,1
1411693200000,11.24,2
1411779600000,1.612,1
1411866000000,1.23,2
1412038800000,0.755,2
1412125200000,1.21,1
1412211600000,1.221,2
1412384400000,0.632,1
1412557200000,1.044,2
1412643600000,1.218,2
1412730000000,0.92,1
1412816400000,1.15,1
1412989200000,1.073,1
1413075600000,1.238,4
1413162000000,1.437,1
1413248400000,1.449,1
1413421200000,1.189,2
1413507600000,1.415,1
1413766800000,1.292,2
1413939600000,1.393,2
1414112400000,1.25,1
1414198800000,3.236,2
1414371600000,1.24,1
1414458000000,1.292,2
1414544400000,1.401,1
1414717200000,1.586,1
1414803600000,0.641,2
1414890000000,0.874,1
1414976400000,1.249,1
1415062800000,1.144,2
1415149200000,1.263,3
1415235600000,0.954,1
1415322000000,1.238,2
1415408400000,1.241,2
1415494800000,0.988,2
1415581200000,1.124,1
1415667600000,1.386,1
1415754000000,0.943,3
1415926800000,1.146,1
1416013200000,1.19,2
1416099600000,1.376,2
1416186000000,1.076,1
1416445200000,1.341,1
1416618000000,1.01,1
1416704400000,1.185,2
1416790800000,0.98,1
1416963600000,0.965,2
1417050000000,1.08,1
1417136400000,1.07,1
1417222800000,1.071,1
1417309200000,0.854,2
1417395600000,0.57,1
1417654800000,0.998,1
1417741200000,1,1
1418000400000,0.871,1
1418086800000,0.92,2
1418259600000,0.683,1
1418605200000,0.909,1
1418691600000,0.89,1
1418778000000,0.914,3
1418950800000,0.57,2
1419037200000,0.626,1
1419123600000,0.798,2
1419210000000,0.729,3
1419382800000,0.877,1
1419469200000,0.911,2
1419555600000,1.043,3
1419642000000,0.805,1
1419728400000,1.35,1
1419814800000,0.95,1
1419987600000,0.816,2
1420160400000,0.959,1
1420246800000,0.993,1
1420333200000,0.85,1
1420506000000,1.006,4
1420678800000,1.106,1
1420851600000,0.965,1
1420938000000,1.109,3
1421024400000,0.94,5
1421110800000,0.964,2
1421197200000,0.936,2
1421370000000,1.175,2
1421456400000,0.826,8
1421542800000,0.716,3
1421629200000,0.802,4
1421715600000,1.143,1
1421802000000,1.127,3
1421888400000,1.11,2
1421974800000,1.104,5
1422147600000,1.031,4
1422320400000,0.902,3
1422493200000,0.568,2
1422666000000,0.774,2
1422752400000,0.836,6
1422838800000,0.995,1
1422925200000,1.096,2
1423011600000,1.129,1
1423098000000,1.151,2
1423184400000,1.098,4
1423270800000,1.07,2
1423357200000,0.806,3
1423616400000,1.032,2
1423702800000,0.773,5
1423789200000,1.02,4
1423875600000,0.849,2
1423962000000,0.827,5
1424048400000,0.842,2
1424134800000,0.925,2
1424221200000,1.057,4
1424307600000,1.258,2
1424394000000,1.379,3
1424480400000,1.28,1
1424566800000,1.302,3
1424653200000,1.435,2
1424739600000,1.216,2
1424912400000,1.223,1
1424998800000,0.951,1
1425085200000,1.034,7
1425171600000,1.329,4
1425258000000,0.951,3
1425344400000,1.162,1
1425430800000,0.77,1
1425517200000,1.192,2
1425603600000,1.07,2
1425690000000,1.049,1
1425776400000,0.967,1
1425862800000,1.645,2
1425949200000,1.03,3
1426035600000,0.952,2
1426122000000,1.092,4
1426208400000,1.234,6
1426294800000,0.879,5
1426381200000,1.007,6
1426467600000,2.143,16
1426813200000,2.158,1
1426899600000,2.158,1
1426986000000,2.171,4
1427158800000,2.685,1
1427331600000,2.879,2
1427504400000,2.824,3
1427677200000,1.913,1
1427936400000,2.27,1
1428022800000,2.22,1
1428109200000,1.894,5
1428282000000,2.147,2
1428454800000,2.153,2
1428541200000,1.979,2
1428627600000,1.701,2
1428714000000,1.871,2
1428800400000,1.147,2
1428973200000,2.078,1
1429059600000,2.493,13
1429232400000,5.749,1
1429318800000,5.66,1
1429405200000,6.599,2
1429578000000,2.25,1
1429750800000,1.2,1
1429837200000,1.659,2
1430442000000,1.251,3
1430614800000,1.294,1
1430701200000,1.137,1
1430787600000,1.287,1
1430874000000,1.135,1
1430960400000,1.306,4
1431219600000,1.291,1
1431306000000,1.275,1
1431478800000,1.406,1
1431565200000,1.362,2
1431738000000,2.26,2
1431824400000,1.415,2
1431997200000,2.121,2
1432170000000,1.295,1
1432342800000,1.207,2
1432429200000,1.497,2
1432515600000,1.286,1
1432688400000,1.242,1
1432774800000,1.344,1
1432861200000,1.279,4
1432947600000,1.374,2
1433120400000,1.274,1
1433206800000,1.233,1
1433293200000,1.299,1
1433552400000,1.171,2
1433638800000,1.745,3
1433811600000,1.344,1
1433984400000,1.54,1
1434243600000,1.288,1
1434330000000,1,1
1434416400000,1.027,2
1434502800000,1.406,3
1434589200000,2.44,1
1434675600000,1.211,2
1434848400000,1.29,1
1435107600000,1.259,3
1435194000000,0.994,1
1435453200000,0.519,2
1435539600000,1.102,2
1435712400000,1.379,2
1435798800000,1.362,1
1436058000000,1.286,2
1436230800000,1.1,1
1436317200000,1.147,1
1436490000000,1.464,2
1436749200000,1.68,1
1436835600000,1.2,1
1437094800000,1.46,1
1437181200000,1.26,6
1437267600000,1.245,1
1437354000000,3.15,1
1437526800000,9.77,3
1437613200000,0.46,1
1437699600000,1.259,2
1437786000000,0.661,3
1437872400000,1.26,1
1437958800000,1.048,2
1438045200000,1.074,3
1438131600000,5.631,2
1438218000000,0.959,1
1438304400000,15.52,1
1438390800000,0.913,2
1438477200000,0.911,2
1438563600000,1.255,1
1438650000000,1.242,1
1438909200000,1.23,2
1439082000000,0.919,2
1439168400000,1.19,1
1439254800000,0.97,1
1439341200000,0.98,1
1439427600000,1.07,1
1439514000000,0.887,1
1439600400000,1.09,2
1439686800000,1.126,2
1439773200000,2.906,1
1439859600000,1.109,1
1439946000000,1.124,2
1440032400000,1.45,1
1440205200000,1.147,3
1440550800000,1.285,1
1440723600000,1.363,1
1441242000000,1.932,2
1441328400000,1.31,1
1441414800000,1.277,1
1441501200000,1.468,4
