timestamp,price_dollar,sells
1439600400000,1.081,50
1439686800000,1.074,15
1439773200000,1.254,12
1439859600000,1.085,19
1439946000000,1.005,7
1440032400000,1.064,9
1440118800000,1.061,10
1440205200000,0.894,4
1440291600000,0.359,320
1440378000000,0.431,1089
1440464400000,0.824,727
1440550800000,1.069,400
1440637200000,1.357,206
1440723600000,1.351,119
1440810000000,1.051,143
1440896400000,0.95,162
1440982800000,0.947,84
1441069200000,0.794,69
1441155600000,0.713,118
1441242000000,0.63,108
1441328400000,0.506,160
1441414800000,0.528,143
1441501200000,0.538,85
1441587600000,0.472,116
1441674000000,0.45,93
1441760400000,0.447,88
1441846800000,0.453,131
1441933200000,0.513,104
1442019600000,0.68,215
1442106000000,0.647,60
1442192400000,0.549,56
1442278800000,0.61,71
1442365200000,0.612,72
1442451600000,0.577,156
1442538000000,0.551,102
1442624400000,0.533,93
1442710800000,0.503,62
1442797200000,0.502,45
1442883600000,0.518,109
1442970000000,0.525,45
1443056400000,0.512,60
1443142800000,0.542,112
1443229200000,0.589,68
1443315600000,0.553,63
1443402000000,0.533,78
1443488400000,0.586,41
1443574800000,0.57,23
1443661200000,0.571,53
1443747600000,0.583,47
1443834000000,0.561,65
1443920400000,0.572,43
1444006800000,0.55,23
1444093200000,0.544,78
1444179600000,0.531,48
1444266000000,0.49,52
1444352400000,0.44,84
1444438800000,0.446,98
1444525200000,0.457,48
1444611600000,0.432,71
1444698000000,0.407,64
1444784400000,0.393,102
1444870800000,0.394,77
1444957200000,0.414,68
1445043600000,0.44,92
1445130000000,0.484,67
1445216400000,0.5,71
1445302800000,0.494,47
1445389200000,0.399,102
1445475600000,0.395,22
1445562000000,0.36,99
1445648400000,0.397,67
1445734800000,0.361,87
1445821200000,0.378,76
1445907600000,0.408,95
1445994000000,0.357,165
1446080400000,0.347,38
1446166800000,0.38,37
1446253200000,0.391,107
1446339600000,0.382,73
1446426000000,0.404,42
1446512400000,0.385,49
1446598800000,0.413,61
1446685200000,0.44,28
1446771600000,0.446,43
1446858000000,0.438,33
1446944400000,0.452,24
1447030800000,0.4,16
1447117200000,0.392,12
1447203600000,0.413,35
1447290000000,0.428,29
1447376400000,0.468,89
1447462800000,0.558,64
1447549200000,0.558,68
1447635600000,0.526,15
1447722000000,0.511,27
1447808400000,0.54,61
1447894800000,0.542,36
1447981200000,0.523,16
1448067600000,0.523,24
1448154000000,0.52,27
1448240400000,0.524,14
1448326800000,0.528,42
1448413200000,0.536,44
1448499600000,0.503,37
1448586000000,0.47,40
1448672400000,0.477,29
1448758800000,0.448,53
1448845200000,0.448,21
1448931600000,0.476,36
1449018000000,0.487,26
1449104400000,0.408,57
1449190800000,0.445,65
1449277200000,0.456,72
1449363600000,0.44,27
1449450000000,0.437,24
1449536400000,0.441,35
1449622800000,0.499,79
1449709200000,0.558,33
1449795600000,0.532,38
1449882000000,0.55,43
1449968400000,0.515,39
1450054800000,0.496,35
1450141200000,0.558,13
1450227600000,0.533,20
1450314000000,0.521,11
1450400400000,0.527,24
1450486800000,0.503,22
1450573200000,0.5,40
1450659600000,0.495,24
1450746000000,0.485,16
1450832400000,0.603,288
1450918800000,0.863,88
1451005200000,1.115,89
1451091600000,1.193,142
1451178000000,1.192,20
1451264400000,1.285,78
1451350800000,3.703,80
1451437200000,3.5,83
1451523600000,2.354,7
1451610000000,1.785,12
1451696400000,1.394,10
1451782800000,1.062,28
1451869200000,0.898,23
1451955600000,1.051,26
1452042000000,0.991,22
1452128400000,0.981,10
1452214800000,0.962,23
1452301200000,0.997,8
1452387600000,1.022,17
1452474000000,1,9
1452560400000,0.911,20
1452646800000,0.932,18
1452733200000,0.948,25
1452819600000,0.994,11
1452906000000,0.918,16
1452992400000,0.912,24
1453078800000,0.947,24
1453165200000,0.886,2
1453251600000,0.881,6
1453338000000,0.84,8
1453424400000,0.795,15
1453510800000,0.859,16
1453597200000,0.873,19
1453683600000,0.906,11
1453770000000,0.9,14
1453856400000,0.955,17
1453942800000,1.021,13
1454029200000,1.016,8
1454115600000,1.065,7
1454202000000,1.082,9
1454288400000,0.991,5
1454374800000,1.02,7
