timestamp,price_dollar,sells
1675990800000,2.568,166
1676077200000,1.681,174
1676163600000,1.293,198
1676250000000,1.372,167
1676336400000,1.365,149
1676422800000,1.222,129
1676509200000,1.133,126
1676595600000,1.112,168
1676682000000,1.149,158
1676768400000,1.05,187
1676854800000,1.133,135
1676941200000,1.095,128
1677027600000,1.029,120
1677114000000,1.012,116
1677200400000,1.017,115
1677286800000,0.961,141
1677373200000,0.961,154
1677459600000,0.905,137
1677546000000,0.893,118
1677632400000,0.894,144
1677718800000,0.901,125
1677805200000,0.917,122
1677891600000,0.91,173
1677978000000,0.886,145
1678064400000,0.846,170
1678150800000,0.835,165
1678237200000,0.839,151
1678323600000,0.826,162
1678410000000,0.779,179
1678496400000,0.787,179
1678582800000,0.727,193
1678669200000,0.724,199
1678755600000,0.713,157
1678842000000,0.683,201
1678928400000,0.678,161
1679014800000,0.681,197
1679101200000,0.683,177
1679187600000,0.702,169
1679274000000,0.681,169
1679360400000,0.676,141
1679446800000,0.67,193
1679533200000,0.696,158
1679619600000,0.72,214
1679706000000,0.726,162
1679792400000,0.763,167
1679878800000,0.752,197
1679965200000,0.722,199
1680051600000,0.727,201
1680138000000,0.743,165
1680224400000,0.761,140
1680310800000,0.908,171
1680397200000,0.821,194
1680483600000,0.799,204
1680570000000,0.798,164
1680656400000,0.811,197
1680742800000,0.779,169
1680829200000,0.792,160
1680915600000,0.797,171
1681002000000,0.789,208
1681088400000,0.784,188
1681174800000,0.818,214
1681261200000,0.82,165
1681347600000,0.832,173
1681434000000,0.833,161
1681520400000,0.869,128
1681606800000,0.909,125
1681693200000,0.892,193
1681779600000,0.885,146
1681866000000,0.865,143
1681952400000,0.884,209
1682038800000,0.871,77
1682078400000,0.84,10
1682082000000,0.838,7
1682085600000,0.866,16
1682089200000,0.877,17
1682092800000,0.876,17
1682096400000,0.873,9
1682100000000,0.846,11
1682103600000,0.842,14
1682107200000,0.876,15
1682110800000,0.84,7
1682114400000,0.869,7
1682118000000,0.871,10
1682121600000,0.838,14
1682125200000,0.871,15
1682128800000,0.838,6
1682132400000,0.86,4
1682136000000,0.834,7
1682139600000,0.86,11
1682143200000,0.839,7
1682146800000,0.853,6
1682150400000,0.846,5
1682154000000,0.83,9
1682157600000,0.857,11
1682161200000,0.858,6
1682164800000,0.841,10
1682168400000,0.954,15
1682172000000,0.834,9
1682175600000,0.85,10
1682179200000,0.858,8
1682182800000,0.846,9
1682186400000,0.839,13
1682190000000,0.878,16
1682193600000,0.857,9
1682197200000,0.884,7
1682200800000,0.857,9
1682204400000,0.87,10
1682208000000,0.846,10
1682211600000,0.81,8
1682215200000,0.876,8
1682218800000,0.878,2
1682222400000,0.839,9
1682226000000,0.855,4
1682229600000,0.86,5
1682233200000,0.94,5
1682236800000,0.883,5
1682240400000,0.84,6
1682244000000,0.846,11
1682247600000,0.895,6
1682251200000,0.851,13
1682254800000,0.84,11
1682258400000,0.882,9
1682262000000,0.84,5
1682265600000,0.84,9
1682269200000,0.857,9
1682272800000,0.851,8
1682276400000,0.83,8
1682280000000,0.89,17
1682283600000,0.887,10
1682287200000,0.879,16
1682290800000,0.934,9
1682294400000,0.856,5
1682298000000,0.862,5
1682301600000,0.867,6
1682305200000,0.87,8
1682308800000,0.8,3
1682312400000,0.89,11
1682316000000,0.972,4
1682319600000,0.884,2
1682323200000,0.916,6
1682326800000,0.88,7
1682330400000,0.94,7
1682334000000,0.871,8
1682337600000,0.86,8
1682341200000,0.865,8
1682344800000,0.83,11
1682348400000,0.83,9
1682352000000,0.857,20
1682355600000,0.85,12
1682359200000,0.877,10
1682362800000,0.82,13
1682366400000,0.775,16
1682370000000,0.825,10
1682373600000,0.734,7
1682377200000,0.859,9
1682380800000,0.828,9
1682384400000,0.802,10
1682388000000,0.777,12
1682391600000,0.811,10
1682395200000,0.805,11
1682398800000,0.798,9
1682402400000,0.815,15
1682406000000,0.849,4
1682409600000,0.805,13
1682413200000,0.826,7
1682416800000,0.81,8
1682420400000,0.816,19
1682424000000,0.746,8
1682427600000,0.779,20
1682431200000,0.81,22
1682434800000,0.81,37
1682438400000,0.81,15
1682442000000,0.815,15
1682445600000,0.77,17
1682449200000,0.823,14
1682452800000,0.746,7
1682456400000,0.744,15
1682460000000,0.754,12
1682463600000,0.72,5
1682467200000,0.74,15
1682470800000,0.769,6
1682474400000,0.769,7
1682478000000,0.771,4
1682481600000,0.759,6
1682485200000,0.729,7
1682488800000,0.759,6
1682492400000,0.759,4
1682496000000,0.729,7
1682499600000,0.76,11
1682503200000,0.759,7
1682506800000,0.8,11
1682510400000,0.819,6
1682514000000,0.769,6
1682517600000,0.759,8
1682521200000,0.77,6
1682524800000,0.75,20
1682528400000,0.74,11
1682532000000,0.73,13
1682535600000,0.75,12
1682539200000,0.773,14
1682542800000,0.75,16
1682546400000,0.705,8
1682550000000,0.75,9
1682553600000,0.759,7
1682557200000,0.74,3
1682560800000,0.78,4
1682564400000,0.758,5
1682568000000,0.695,2
1682571600000,0.73,9
1682575200000,0.742,7
1682578800000,0.742,5
1682582400000,0.756,4
1682586000000,0.77,7
1682589600000,0.792,4
1682593200000,0.751,9
1682596800000,0.72,6
1682600400000,0.739,9
1682604000000,0.75,13
1682607600000,0.74,10
1682611200000,0.72,9
1682614800000,0.75,17
1682618400000,0.752,11
1682622000000,0.762,13
1682625600000,0.743,16
1682629200000,0.75,16
1682632800000,0.77,9
1682636400000,0.725,4
1682640000000,0.76,9
1682643600000,0.753,8
1682647200000,0.72,8
1682650800000,0.746,5
1682654400000,0.746,6
1682658000000,0.734,14
1682661600000,0.77,9
1682665200000,0.77,3
1682668800000,0.718,4
1682672400000,0.82,1
1682676000000,0.71,5
1682679600000,0.735,6
1682683200000,0.73,7
1682686800000,0.749,6
1682690400000,0.72,9
1682694000000,0.74,15
1682697600000,0.759,13
1682701200000,0.76,10
1682704800000,0.717,10
1682708400000,0.647,6
1682712000000,0.707,12
1682715600000,0.71,10
1682719200000,0.718,12
1682722800000,0.71,12
1682726400000,0.759,8
1682730000000,0.77,4
1682733600000,0.71,10
1682737200000,0.61,5
1682740800000,0.705,6
1682744400000,0.761,6
1682748000000,0.661,6
1682751600000,0.638,3
1682755200000,0.7,5
1682758800000,0.817,6
1682762400000,0.721,1
1682766000000,0.772,8
1682769600000,0.7,7
1682773200000,0.709,10
1682776800000,0.81,13
1682780400000,0.825,7
1682784000000,0.701,8
1682787600000,0.73,13
1682791200000,0.73,11
1682794800000,0.704,18
1682798400000,0.704,15
1682802000000,0.7,19
1682805600000,0.747,11
1682809200000,0.7,11
1682812800000,0.821,10
1682816400000,0.7,7
1682820000000,0.71,5
1682823600000,0.7,7
1682827200000,0.69,11
1682830800000,0.7,6
1682834400000,0.678,4
1682838000000,0.746,8
1682841600000,0.785,2
1682845200000,0.79,4
1682848800000,0.723,8
1682852400000,0.754,7
1682856000000,0.7,4
1682859600000,0.703,4
1682863200000,0.726,5
1682866800000,0.704,7
1682870400000,0.704,11
1682874000000,0.704,18
1682877600000,0.7,18
1682881200000,0.709,14
1682884800000,0.704,21
1682888400000,0.715,17
1682892000000,0.66,6
1682895600000,0.7,13
1682899200000,0.716,5
1682902800000,0.72,9
1682906400000,0.715,18
1682910000000,0.715,2
1682913600000,0.61,1
1682917200000,0.705,4
1682920800000,0.73,4
1682924400000,0.728,10
1682928000000,0.7,6
1682931600000,0.704,5
1682935200000,0.693,7
1682938800000,0.693,6
1682942400000,0.693,11
1682946000000,0.69,17
1682949600000,0.721,13
1682953200000,0.708,6
1682956800000,0.7,15
1682960400000,0.697,18
1682964000000,0.688,13
1682967600000,0.693,11
1682971200000,0.704,15
1682974800000,0.707,10
1682978400000,0.7,8
1682982000000,0.633,5
1682985600000,0.7,23
1682989200000,0.619,5
1682992800000,0.653,6
1682996400000,0.7,3
1683000000000,0.651,6
1683003600000,0.708,4
1683007200000,0.72,3
1683010800000,0.7,9
1683014400000,0.705,8
1683018000000,0.72,11
1683021600000,0.702,2
1683025200000,0.656,4
1683028800000,0.694,16
1683032400000,0.694,11
1683036000000,0.7,7
1683039600000,0.69,13
1683043200000,0.683,11
1683046800000,0.66,7
