timestamp,price_dollar,sells
1632272400000,0.524,1095
1632358800000,0.555,751
1632445200000,0.691,649
1632531600000,0.72,504
1632618000000,0.757,361
1632704400000,0.74,380
1632790800000,0.663,429
1632877200000,0.687,521
1632963600000,0.682,384
1633050000000,0.679,320
1633136400000,0.638,299
1633222800000,0.617,336
1633309200000,0.617,242
1633395600000,0.64,308
1633482000000,0.636,312
1633568400000,0.617,318
1633654800000,0.591,203
1633741200000,0.577,240
1633827600000,0.567,203
1633914000000,0.552,174
1634000400000,0.598,195
1634086800000,0.531,441
1634173200000,0.501,401
1634259600000,0.471,220
1634346000000,0.435,221
1634432400000,0.421,151
1634518800000,0.422,190
1634605200000,0.422,132
1634691600000,0.438,167
1634778000000,0.434,183
1634864400000,0.396,264
1634950800000,0.367,172
1635037200000,0.374,152
1635123600000,0.362,157
1635210000000,0.371,138
1635296400000,0.353,221
1635382800000,0.381,181
1635469200000,0.39,158
1635555600000,0.386,177
1635642000000,0.389,148
1635728400000,0.413,142
1635814800000,0.416,142
1635901200000,0.417,221
1635987600000,0.449,198
1636074000000,0.477,139
1636160400000,0.47,164
1636246800000,0.463,175
1636333200000,0.422,167
1636419600000,0.428,115
1636506000000,0.405,298
1636592400000,0.404,304
1636678800000,0.402,161
1636765200000,0.386,156
1636851600000,0.413,154
1636938000000,0.414,125
1637024400000,0.476,178
1637110800000,0.444,201
1637197200000,0.429,144
1637283600000,0.421,132
1637370000000,0.409,139
1637456400000,0.391,139
1637542800000,0.397,157
1637629200000,0.423,131
1637715600000,0.425,178
1637802000000,0.416,169
1637888400000,0.416,139
1637974800000,0.418,165
1638061200000,0.439,149
1638147600000,0.421,137
1638234000000,0.432,194
1638320400000,0.421,223
1638406800000,0.407,184
1638493200000,0.461,141
1638579600000,0.516,201
1638666000000,0.608,170
1638752400000,0.554,106
1638838800000,0.512,130
1638925200000,0.533,223
1639011600000,0.516,145
1639098000000,0.541,185
1639184400000,0.55,169
1639270800000,0.539,117
1639357200000,0.52,117
1639443600000,0.552,116
1639530000000,0.58,184
1639616400000,0.57,198
1639702800000,0.552,134
1639789200000,0.56,130
1639875600000,0.54,130
1639962000000,0.55,144
1640048400000,0.534,102
1640134800000,0.524,184
1640221200000,0.511,146
1640307600000,0.536,172
1640394000000,0.538,147
1640480400000,0.548,165
1640566800000,0.595,157
1640653200000,0.585,131
1640739600000,0.585,219
1640826000000,0.569,181
1640912400000,0.591,151
1640998800000,0.598,171
1641085200000,0.597,160
1641171600000,0.582,193
1641258000000,0.581,210
1641344400000,0.588,368
1641430800000,0.616,259
1641517200000,0.624,232
1641603600000,0.636,221
1641690000000,0.641,208
1641776400000,0.647,183
1641862800000,0.66,173
1641949200000,0.675,149
1642035600000,0.661,157
1642122000000,0.644,179
1642208400000,0.646,195
1642294800000,0.628,176
1642381200000,0.618,151
1642467600000,0.617,170
1642554000000,0.598,123
1642640400000,0.585,127
1642726800000,0.565,213
1642813200000,0.56,368
1642899600000,0.544,181
1642986000000,0.562,200
1643072400000,0.537,194
1643158800000,0.526,139
1643245200000,0.541,143
1643331600000,0.542,161
1643418000000,0.543,199
1643504400000,0.533,131
1643590800000,0.545,149
1643677200000,0.555,176
1643763600000,0.548,143
1643850000000,0.571,163
1643936400000,0.592,158
1644022800000,0.627,135
1644109200000,0.607,132
1644195600000,0.603,131
1644282000000,0.589,145
1644368400000,0.565,85
1644454800000,0.566,122
1644541200000,0.555,110
1644627600000,0.587,184
1644714000000,0.642,178
1644800400000,0.658,145
1644886800000,0.66,113
1644973200000,0.655,100
1645059600000,0.695,106
1645146000000,0.687,85
1645232400000,0.702,135
1645318800000,0.708,148
1645405200000,0.711,88
1645491600000,0.715,142
1645578000000,0.672,106
1645664400000,0.628,113
1645750800000,0.622,132
1645837200000,0.588,79
1645923600000,0.613,99
1646010000000,0.631,154
1646096400000,0.646,76
1646182800000,0.62,73
1646269200000,0.622,124
1646355600000,0.619,83
1646442000000,0.649,116
1646528400000,0.763,73
1646614800000,0.656,204
1646701200000,0.644,118
1646787600000,0.624,53
1646874000000,0.633,53
1646960400000,0.653,69
1647046800000,0.623,72
1647133200000,0.644,77
1647219600000,0.777,104
1647306000000,0.667,32
1647392400000,0.741,31
1647478800000,0.653,172
1647565200000,0.733,45
1647651600000,0.726,38
1647738000000,0.7,46
1647824400000,0.696,54
1647910800000,0.829,114
1647997200000,0.79,195
1648083600000,0.808,99
1648170000000,0.772,66
1648256400000,0.803,267
1648342800000,0.768,56
1648429200000,0.757,61
1648515600000,0.707,77
1648602000000,0.704,58
1648688400000,0.695,103
1648774800000,0.705,46
1648861200000,0.732,106
1648947600000,0.753,90
1649034000000,0.707,74
1649120400000,0.696,36
1649206800000,0.671,77
1649293200000,0.721,50
1649379600000,0.688,27
1649466000000,0.682,43
1649552400000,0.7,39
1649638800000,0.668,52
1649725200000,0.638,40
1649811600000,0.698,57
1649898000000,1.004,233
1649984400000,0.718,46
1650070800000,0.74,66
1650157200000,0.671,39
1650243600000,0.706,33
1650330000000,0.671,32
1650416400000,0.682,34
1650502800000,0.655,34
1650589200000,0.653,57
1650675600000,0.795,50
1650762000000,0.665,31
1650848400000,0.737,37
1650934800000,0.719,26
1651021200000,0.656,28
1651107600000,0.684,36
1651194000000,0.688,40
1651280400000,0.662,49
1651366800000,0.655,43
1651453200000,0.655,18
1651539600000,0.666,35
1651626000000,0.619,220
1651712400000,0.596,318
1651798800000,0.607,121
1651885200000,0.57,159
1651971600000,0.786,38
1652058000000,0.572,84
1652144400000,0.755,131
1652230800000,0.675,75
1652317200000,0.528,44
1652403600000,0.58,108
1652490000000,0.557,123
1652576400000,0.528,38
1652662800000,0.552,19
1652749200000,0.499,21
1652835600000,0.515,68
1652922000000,0.519,41
1653008400000,0.515,34
1653094800000,0.512,25
1653181200000,0.513,88
1653267600000,0.513,74
1653354000000,0.476,39
1653440400000,0.52,39
1653526800000,0.498,134
1653613200000,0.691,40
1653699600000,0.506,53
1653786000000,0.503,26
1653872400000,0.506,33
1653958800000,0.526,37
1654045200000,0.531,64
1654131600000,0.583,34
1654218000000,0.537,66
1654304400000,0.505,43
1654390800000,0.537,66
1654477200000,0.548,33
1654563600000,0.558,18
1654650000000,0.548,34
1654736400000,0.531,28
1654822800000,0.555,35
1654909200000,0.557,36
1654995600000,0.536,37
1655082000000,0.528,14
1655168400000,0.533,28
1655254800000,0.511,31
1655341200000,0.529,19
1655427600000,0.519,15
1655514000000,0.524,35
1655600400000,0.497,18
1655686800000,0.498,23
1655773200000,0.487,15
1655859600000,0.509,19
1655946000000,0.473,24
1656032400000,0.468,18
1656118800000,0.462,29
1656205200000,0.444,23
1656291600000,0.45,38
1656378000000,0.435,26
1656464400000,0.469,46
1656550800000,0.45,133
1656637200000,0.441,33
1656723600000,0.452,25
1656810000000,0.467,62
1656896400000,0.765,35
1656982800000,0.47,53
1657069200000,0.441,33
1657155600000,0.426,43
1657242000000,0.523,23
1657328400000,0.466,36
1657414800000,0.473,23
1657501200000,0.475,22
1657587600000,0.468,38
1657674000000,0.496,23
1657760400000,0.49,174
1657846800000,0.52,65
1657933200000,0.525,32
1658019600000,0.516,25
1658106000000,0.555,33
1658192400000,0.523,21
1658278800000,0.543,15
1658365200000,0.574,20
1658451600000,0.539,20
1658538000000,0.514,25
