timestamp,price_dollar,sells
1574125200000,0.454,11
1574211600000,0.807,8
1574298000000,1.28,10
1574384400000,1.026,3
1574470800000,1.055,4
1574557200000,1.346,5
1574643600000,1.215,5
1574730000000,1.485,1
1574816400000,1.239,13
1574902800000,1.325,8
1574989200000,1.608,6
1575075600000,1.912,5
1575162000000,2.054,2
1575248400000,2.77,2
1575421200000,1.677,30
1575507600000,1.373,9
1575594000000,1.872,16
1575680400000,1.77,10
1575766800000,1.629,16
1575853200000,1.859,5
1575939600000,2.158,7
1576026000000,2.066,7
1576112400000,2.159,6
1576198800000,2.076,7
1576285200000,1.747,1
1576371600000,1.912,4
1576458000000,1.932,5
1576544400000,1.871,7
1576630800000,2.06,9
1576717200000,1.848,6
1576803600000,1.845,5
1576890000000,1.638,1
1576976400000,1.934,4
1577062800000,1.83,4
1577149200000,1.761,3
1577235600000,1.926,9
1577322000000,2.118,12
1577408400000,2.117,1
1577494800000,1.955,2
1577581200000,1.818,7
1577667600000,2.253,1
1577754000000,2.082,6
1577840400000,1.912,17
1577926800000,1.873,9
1578013200000,1.84,11
1578099600000,1.773,6
1578186000000,1.837,7
1578272400000,1.522,7
1578358800000,1.532,3
1578445200000,1.632,1
1578531600000,1.571,5
1578618000000,1.901,3
1578704400000,1.73,8
1578790800000,1.98,4
1578877200000,1.724,4
1578963600000,2.048,21
1579050000000,1.845,3
1579136400000,2.054,3
1579222800000,1.747,4
1579309200000,1.667,5
1579395600000,2.105,8
1579482000000,24.945,7
1579568400000,2.174,10
1579654800000,1.77,1
1579741200000,2.239,5
1579827600000,2.048,8
1579914000000,1.952,4
1580000400000,2.015,5
1580086800000,2.326,8
1580173200000,1.7,1
1580259600000,1.753,2
1580346000000,1.7,1
1580432400000,2.1,1
1580518800000,2.295,13
1580605200000,2.56,2
1580691600000,3.188,5
1580778000000,4.635,13
1580950800000,1.317,3
1581037200000,3.475,5
1581123600000,2.559,8
1581210000000,2.605,4
1581296400000,2.688,8
1581382800000,2.7,5
1581469200000,2.881,7
1581555600000,2.83,12
1581642000000,2.819,13
1581728400000,3.15,3
1581814800000,2.762,10
1581901200000,3.044,2
1581987600000,2.985,4
1582074000000,2.521,14
1582160400000,2.428,21
1582246800000,2.727,29
1582333200000,3.223,17
1582419600000,3.43,15
1582506000000,4.154,13
1582592400000,4.416,7
1582678800000,3.555,8
1582765200000,3.365,9
1582851600000,4.077,27
1582938000000,4.959,12
1583024400000,4.115,4
1583110800000,3.386,4
1583197200000,3.753,10
1583283600000,3.637,12
1583370000000,3.715,16
1583456400000,2.905,16
1583542800000,3.368,18
1583629200000,3.244,10
1583715600000,3.132,4
1583802000000,3.412,14
1583888400000,3.39,14
1583974800000,3.378,4
1584061200000,3.405,6
1584147600000,3.154,10
1584234000000,2.915,7
1584320400000,2.71,9
1584406800000,2.769,9
1584493200000,3.212,13
1584579600000,3.454,10
1584666000000,4.364,21
1584752400000,3.584,3
1584838800000,3.3,9
1584925200000,3.735,7
1585011600000,3.8,10
1585098000000,3.627,8
1585184400000,3.656,1
1585270800000,3.648,4
1585357200000,3.521,7
1585443600000,3.531,2
1585530000000,3.321,7
1585616400000,3.343,10
1585702800000,3.31,10
1585789200000,3.265,9
1585875600000,3.287,15
1585962000000,3.573,7
1586048400000,3.894,1
1586134800000,3.313,7
1586221200000,3.431,4
1586307600000,3.398,5
1586394000000,3.507,5
1586480400000,3.882,3
1586566800000,3.871,2
1586653200000,3.311,3
1586739600000,3.42,2
1586826000000,3.548,2
1586912400000,3.597,7
1586998800000,3.35,1
1587085200000,3.566,2
1587171600000,3.44,15
1587258000000,3.388,2
1587344400000,3.744,5
1587430800000,3.779,1
1587517200000,3.555,6
1587603600000,3.99,2
1587690000000,4.318,6
1587776400000,4.905,2
1587862800000,2.47,1
1588035600000,3.637,3
1588122000000,4.326,2
1588208400000,4.031,5
1588294800000,4.178,6
1588381200000,4.48,2
1588467600000,4.633,2
1588554000000,4.697,4
1588640400000,4.445,3
1588726800000,5.382,1
1588813200000,5.284,1
1588899600000,5.397,1
1588986000000,4.28,1
1589072400000,4.965,2
1589158800000,5.706,1
1589245200000,5.291,4
1589504400000,7.364,1
1589590800000,6.903,2
1589763600000,6.353,2
1589850000000,7.086,2
1589936400000,5.01,1
1590109200000,5.487,2
1590454800000,5.492,2
1590541200000,5.452,1
1590627600000,5.919,3
1590886800000,5.985,1
1590973200000,5.955,1
1591059600000,5.966,1
1591146000000,6.154,1
1591232400000,6.346,2
1591405200000,5.666,1
1591491600000,6.563,1
1592182800000,5.506,1
1592442000000,5.625,2
1592614800000,5.471,2
1592787600000,5.459,1
1592874000000,5.89,3
