"market_hash_name","currency","min_price","max_price","mean_price","median_price","quantity_sold"
"AK-47 | Blue Laminate (Factory New)","USD",34.82,2663.3,284.03,113.12,134
"AK-47 | Blue Laminate (Field-Tested)","USD",23.9,8824.1,363.59,89.66,78
"AK-47 | Blue Laminate (Minimal Wear)","USD",32.83,5436.64,264.38,118.29,87
"AK-47 | Blue Laminate (Well-Worn)","USD",26.41,35.85,29.82,27.88,5
"AK-47 | Breakthrough (Battle-Scarred)","USD",9.55,10.13,9.63,9.55,7
"AK-47 | Breakthrough (Factory New)","USD",76.47,135.16,96.04,76.48,3
"AK-47 | Breakthrough (Minimal Wear)","USD",51.62,52.99,52.39,52.56,3
"AK-47 | B the Monster (Battle-Scarred)","USD",125.45,649.39,218.7,131.59,8
"AK-47 | B the Monster (Factory New)","USD",1285.16,2628.71,1671.76,1547.96,15
"AK-47 | B the Monster (Field-Tested)","USD",307.65,11636.39,844.09,393.11,37
"AK-47 | B the Monster (Minimal Wear)","USD",536.5,3584.61,914.9,702.09,32
"AK-47 | B the Monster (Well-Worn)","USD",218.95,234.4,229.14,234.07,3
"AK-47 | Cartel (Battle-Scarred)","USD",22.31,41.22,31.08,30.29,11
"AK-47 | Cartel (Factory New)","USD",121.17,332.91,163.41,143.2,22
"AK-47 | Cartel (Field-Tested)","USD",23.06,1123.18,93.16,34.64,41
"AK-47 | Cartel (Minimal Wear)","USD",32.67,2189.54,158.89,65.87,33
"AK-47 | Cartel (Well-Worn)","USD",26.24,49.93,36.48,28.4,5
"AK-47 | Case Hardened (Battle-Scarred)","USD",203.74,870.52,373.54,280.94,15
"AK-47 | Case Hardened (Factory New)","USD",1050.54,7169.01,1948.52,1302.16,12
"AK-47 | Case Hardened (Field-Tested)","USD",242.7,5325.55,527.27,368.01,54
"AK-47 | Case Hardened (Minimal Wear)","USD",299.27,11381.58,842.0,455.79,63
"AK-47 | Case Hardened (Well-Worn)","USD",201.85,1177.45,349.79,307.68,21
"AK-47 | Crossfade (Battle-Scarred)","USD",4.52,4.53,4.53,4.53,4
"AK-47 | Crossfade (Factory New)","USD",8.48,4307.5,53.65,21.82,186
"AK-47 | Crossfade (Field-Tested)","USD",3.09,286.37,14.57,4.77,82
"AK-47 | Crossfade (Minimal Wear)","USD",4.62,200.34,16.26,9.2,59
"AK-47 | Crossfade (Well-Worn)","USD",3.41,11.3,6.85,6.24,10
"AK-47 | Elite Build (Battle-Scarred)","USD",1.84,119.47,7.59,2.62,142
"AK-47 | Elite Build (Factory New)","USD",14.88,170.27,29.61,17.92,90
"AK-47 | Elite Build (Field-Tested)","USD",2.62,800.55,23.92,7.05,180
"AK-47 | Elite Build (Minimal Wear)","USD",4.39,609.37,24.65,10.51,95
"AK-47 | Elite Build (Well-Worn)","USD",2.03,286.76,8.53,3.11,250
"AK-47 | Emerald Pinstripe (Battle-Scarred)","USD",3.14,49.37,11.11,6.27,42
"AK-47 | Emerald Pinstripe (Factory New)","USD",19.72,675.94,92.98,25.94,38
"AK-47 | Emerald Pinstripe (Field-Tested)","USD",3.42,89.62,14.39,10.16,133
"AK-47 | Emerald Pinstripe (Minimal Wear)","USD",5.09,394.23,36.66,16.53,72
"AK-47 | Emerald Pinstripe (Well-Worn)","USD",3.2,83.63,9.18,4.49,47
"AK-47 | Fire Serpent (Battle-Scarred)","USD",582.64,886.59,679.13,627.75,7
"AK-47 | Fire Serpent (Factory New)","USD",3149.7,3904.5,3455.68,3384.25,4
"AK-47 | Fire Serpent (Field-Tested)","USD",973.35,13767.78,1805.16,1201.23,22
"AK-47 | Fire Serpent (Minimal Wear)","USD",1552.61,3284.3,1973.29,1911.79,15
"AK-47 | First Class (Battle-Scarred)","USD",101.56,155.6,125.15,118.29,3
"AK-47 | First Class (Factory New)","USD",263.96,496.29,398.19,477.94,5
"AK-47 | First Class (Field-Tested)","USD",107.44,155.32,125.13,123.41,8
"AK-47 | First Class (Minimal Wear)","USD",138.53,209.1,173.82,173.82,2
"AK-47 | Frontside Misty (Battle-Scarred)","USD",20.19,107.53,34.65,21.26,8
"AK-47 | Frontside Misty (Factory New)","USD",239.26,1039.54,352.73,270.28,14
"AK-47 | Frontside Misty (Field-Tested)","USD",23.81,2866.61,104.36,35.83,50
"AK-47 | Frontside Misty (Minimal Wear)","USD",40.17,187.73,69.3,64.42,51
"AK-47 | Frontside Misty (Well-Worn)","USD",22.63,204.82,58.46,35.83,9
"AK-47 | Fuel Injector (Battle-Scarred)","USD",147.51,358.45,212.72,201.23,8
"AK-47 | Fuel Injector (Factory New)","USD",776.66,1372.9,1000.65,956.27,9
"AK-47 | Fuel Injector (Field-Tested)","USD",230.43,430.14,282.31,256.86,18
"AK-47 | Fuel Injector (Minimal Wear)","USD",357.7,510.85,409.33,386.99,17
"AK-47 | Fuel Injector (Well-Worn)","USD",175.74,591.46,251.53,218.95,15
"AK-47 | Gold Arabesque (Battle-Scarred)","USD",1732.56,1732.56,1732.56,1732.56,1
"AK-47 | Gold Arabesque (Factory New)","USD",5221.83,9558.95,6801.85,6213.32,4
"AK-47 | Gold Arabesque (Field-Tested)","USD",2046.31,4427.94,2653.77,2149.95,7
"AK-47 | Gold Arabesque (Minimal Wear)","USD",3405.37,4586.57,3969.22,3942.47,4
"AK-47 | Gold Arabesque (Well-Worn)","USD",2263.81,2921.45,2592.64,2592.64,2
"AK-47 | Green Laminate (Factory New)","USD",148.5,241.71,182.37,179.22,10
"AK-47 | Green Laminate (Field-Tested)","USD",29.91,119.47,46.52,35.83,14
"AK-47 | Green Laminate (Minimal Wear)","USD",31.53,12238.52,779.78,47.78,17
"AK-47 | Head Shot (Battle-Scarred)","USD",33.46,358.46,53.35,35.85,30
"AK-47 | Head Shot (Factory New)","USD",163.46,372.79,222.08,195.96,21
"AK-47 | Head Shot (Field-Tested)","USD",41.65,119.49,47.72,45.15,209
"AK-47 | Head Shot (Minimal Wear)","USD",68.31,716.92,102.6,85.97,123
"AK-47 | Head Shot (Well-Worn)","USD",35.3,1822.17,65.16,39.02,78
"AK-47 | Hydroponic (Factory New)","USD",5631.9,9729.37,7326.72,6843.44,10
"AK-47 | Hydroponic (Field-Tested)","USD",1536.22,2343.69,1782.6,1647.05,8
"AK-47 | Hydroponic (Minimal Wear)","USD",3326.26,4121.93,3556.74,3405.26,5
"AK-47 | Hydroponic (Well-Worn)","USD",1248.64,1248.64,1248.64,1248.64,1
"AK-47 | Ice Coaled (Battle-Scarred)","USD",5.01,37.12,12.07,7.66,30
"AK-47 | Ice Coaled (Factory New)","USD",20.54,863.29,69.35,33.44,108
"AK-47 | Ice Coaled (Field-Tested)","USD",5.9,2915.48,41.62,13.3,188
"AK-47 | Ice Coaled (Minimal Wear)","USD",10.8,1286.87,37.75,15.53,129
"AK-47 | Ice Coaled (Well-Worn)","USD",6.75,35.83,9.77,7.77,29
"AK-47 | Inheritance (Battle-Scarred)","USD",59.52,179.25,79.26,59.73,13
"AK-47 | Inheritance (Factory New)","USD",179.23,571.42,233.04,202.78,63
"AK-47 | Inheritance (Field-Tested)","USD",64.01,237.78,84.67,76.81,134
"AK-47 | Inheritance (Minimal Wear)","USD",93.75,358.46,128.97,119.49,76
"AK-47 | Inheritance (Well-Worn)","USD",63.93,136.31,79.81,73.71,14
"AK-47 | Jaguar (Battle-Scarred)","USD",89.5,137.29,107.73,90.81,5
"AK-47 | Jaguar (Factory New)","USD",776.66,917.2,829.48,794.56,3
"AK-47 | Jaguar (Field-Tested)","USD",92.77,1194.87,165.97,114.92,28
"AK-47 | Jaguar (Minimal Wear)","USD",215.06,1194.87,427.62,233.13,18
"AK-47 | Jaguar (Well-Worn)","USD",81.72,119.49,95.27,92.41,8
"AK-47 | Jet Set (Factory New)","USD",3584.51,3584.51,3584.51,3584.51,1
"AK-47 | Jet Set (Field-Tested)","USD",433.73,657.18,503.19,478.16,6
"AK-47 | Jet Set (Minimal Wear)","USD",597.43,716.9,642.96,614.54,3
"AK-47 | Jet Set (Well-Worn)","USD",369.21,499.36,434.29,434.29,2
"AK-47 | Jungle Spray (Battle-Scarred)","USD",13.02,96.77,38.5,27.48,5
"AK-47 | Jungle Spray (Factory New)","USD",322.61,322.61,322.61,322.61,1
"AK-47 | Jungle Spray (Field-Tested)","USD",15.1,2927.43,195.41,26.17,25
"AK-47 | Jungle Spray (Minimal Wear)","USD",35.83,1454.96,192.29,53.65,13
"AK-47 | Jungle Spray (Well-Worn)","USD",6.24,158.74,43.31,9.34,5
"AK-47 | Leet Museo (Battle-Scarred)","USD",119.77,188.08,160.38,165.98,10
"AK-47 | Leet Museo (Factory New)","USD",961.87,1208.01,1085.16,1075.38,11
"AK-47 | Leet Museo (Field-Tested)","USD",329.59,483.58,395.01,390.87,40
"AK-47 | Leet Museo (Minimal Wear)","USD",433.86,1254.61,567.47,508.13,23
"AK-47 | Leet Museo (Well-Worn)","USD",197.03,404.51,253.86,238.09,9
"AK-47 | Legion of Anubis (Battle-Scarred)","USD",38.62,71.69,45.0,42.93,22
"AK-47 | Legion of Anubis (Factory New)","USD",71.69,3194.48,219.21,85.1,62
"AK-47 | Legion of Anubis (Field-Tested)","USD",39.71,258.09,45.48,42.31,330
"AK-47 | Legion of Anubis (Minimal Wear)","USD",43.65,238.97,52.07,47.65,221
"AK-47 | Legion of Anubis (Well-Worn)","USD",39.63,71.69,48.15,43.04,10
"AK-47 | Midnight Laminate (Battle-Scarred)","USD",4.62,23.3,10.85,9.75,24
"AK-47 | Midnight Laminate (Factory New)","USD",39.47,1792.29,63.26,42.9,160
"AK-47 | Midnight Laminate (Field-Tested)","USD",8.5,145.77,12.74,9.02,157
"AK-47 | Midnight Laminate (Minimal Wear)","USD",19.21,1553.32,35.82,23.01,216
