"market_hash_name","currency","min_price","max_price","mean_price","median_price","quantity_sold"
"StatTrak™ M249 | System Lock (Minimal Wear)","USD",0.87,14.34,2.92,1.18,19
"StatTrak™ M249 | System Lock (Well-Worn)","USD",0.8,1.31,1.06,1.06,2
"StatTrak™ M249 | Warbird (Field-Tested)","USD",0.86,2.27,1.57,1.78,25
"StatTrak™ M4A1-S | Atomic Alloy (Battle-Scarred)","USD",59.73,238.96,148.7,142.63,6
"StatTrak™ M4A1-S | Atomic Alloy (Factory New)","USD",215.06,1194.87,465.15,225.34,4
"StatTrak™ M4A1-S | Atomic Alloy (Field-Tested)","USD",53.77,232.88,110.02,92.17,15
"StatTrak™ M4A1-S | Atomic Alloy (Minimal Wear)","USD",119.07,597.43,266.73,245.08,10
"StatTrak™ M4A1-S | Atomic Alloy (Well-Worn)","USD",164.14,164.14,164.14,164.14,1
"StatTrak™ M4A1-S | Basilisk (Battle-Scarred)","USD",33.3,59.62,41.06,36.18,5
"StatTrak™ M4A1-S | Basilisk (Factory New)","USD",57.03,332.91,119.27,72.98,9
"StatTrak™ M4A1-S | Basilisk (Field-Tested)","USD",32.37,495.86,175.84,51.32,14
"StatTrak™ M4A1-S | Basilisk (Minimal Wear)","USD",35.7,161.31,61.14,43.33,10
"StatTrak™ M4A1-S | Basilisk (Well-Worn)","USD",40.14,40.14,40.14,40.14,1
"StatTrak™ M4A1-S | Black Lotus (Battle-Scarred)","USD",25.13,179.22,46.61,28.92,17
"StatTrak™ M4A1-S | Black Lotus (Factory New)","USD",62.47,227.01,106.65,83.27,20
"StatTrak™ M4A1-S | Black Lotus (Field-Tested)","USD",24.52,119.47,35.69,29.86,37
"StatTrak™ M4A1-S | Black Lotus (Minimal Wear)","USD",36.05,358.46,69.8,47.3,25
"StatTrak™ M4A1-S | Black Lotus (Well-Worn)","USD",25.75,38.22,32.86,33.56,8
"StatTrak™ M4A1-S | Blood Tiger (Factory New)","USD",23.77,1433.84,267.26,77.67,27
"StatTrak™ M4A1-S | Blood Tiger (Field-Tested)","USD",19.78,63.21,33.48,27.34,6
"StatTrak™ M4A1-S | Blood Tiger (Minimal Wear)","USD",17.25,3584.61,430.25,87.48,16
"StatTrak™ M4A1-S | Briefing (Battle-Scarred)","USD",12.03,12.03,12.03,12.03,1
"StatTrak™ M4A1-S | Briefing (Factory New)","USD",48.68,298.72,79.16,60.93,12
"StatTrak™ M4A1-S | Briefing (Field-Tested)","USD",15.5,39.93,21.79,18.1,7
"StatTrak™ M4A1-S | Briefing (Minimal Wear)","USD",21.24,59.62,37.38,35.03,9
"StatTrak™ M4A1-S | Briefing (Well-Worn)","USD",18.46,18.46,18.46,18.46,1
"StatTrak™ M4A1-S | Bright Water (Field-Tested)","USD",105.41,476.75,211.26,131.44,4
"StatTrak™ M4A1-S | Bright Water (Minimal Wear)","USD",77.49,583.87,278.08,262.82,11
"StatTrak™ M4A1-S | Chantico's Fire (Battle-Scarred)","USD",113.51,158.28,127.62,121.82,5
"StatTrak™ M4A1-S | Chantico's Fire (Factory New)","USD",358.45,446.25,406.18,413.9,6
"StatTrak™ M4A1-S | Chantico's Fire (Field-Tested)","USD",119.49,160.21,135.27,130.66,8
"StatTrak™ M4A1-S | Chantico's Fire (Minimal Wear)","USD",174.83,300.66,210.89,195.42,9
"StatTrak™ M4A1-S | Chantico's Fire (Well-Worn)","USD",114.93,130.28,121.3,121.58,5
"StatTrak™ M4A1-S | Cyrex (Battle-Scarred)","USD",218.95,218.95,218.95,218.95,1
"StatTrak™ M4A1-S | Cyrex (Factory New)","USD",244.95,739.1,403.5,298.72,15
"StatTrak™ M4A1-S | Cyrex (Field-Tested)","USD",172.92,375.54,241.02,202.88,14
"StatTrak™ M4A1-S | Cyrex (Minimal Wear)","USD",203.13,312.77,235.53,218.52,9
"StatTrak™ M4A1-S | Dark Water (Field-Tested)","USD",123.92,4182.04,858.07,452.51,9
"StatTrak™ M4A1-S | Dark Water (Minimal Wear)","USD",170.46,2048.28,573.87,392.98,12
"StatTrak™ M4A1-S | Decimator (Battle-Scarred)","USD",35.62,45.17,39.63,38.13,3
"StatTrak™ M4A1-S | Decimator (Factory New)","USD",102.41,361.45,149.19,119.74,44
"StatTrak™ M4A1-S | Decimator (Field-Tested)","USD",35.24,113.13,49.85,41.22,35
"StatTrak™ M4A1-S | Decimator (Minimal Wear)","USD",53.72,164.14,75.79,59.97,46
"StatTrak™ M4A1-S | Decimator (Well-Worn)","USD",44.54,49.35,46.34,45.12,3
"StatTrak™ M4A1-S | Emphorosaur-S (Battle-Scarred)","USD",1.96,43.37,5.45,2.35,19
"StatTrak™ M4A1-S | Emphorosaur-S (Factory New)","USD",10.05,483.92,29.58,17.92,93
"StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)","USD",2.08,23.9,4.82,2.96,29
"StatTrak™ M4A1-S | Emphorosaur-S (Minimal Wear)","USD",4.92,46.87,9.57,7.17,113
"StatTrak™ M4A1-S | Emphorosaur-S (Well-Worn)","USD",2.78,4.3,3.76,4.29,10
"StatTrak™ M4A1-S | Flashback (Battle-Scarred)","USD",5.1,15.37,7.15,5.62,6
"StatTrak™ M4A1-S | Flashback (Factory New)","USD",18.39,100.33,42.21,21.02,13
"StatTrak™ M4A1-S | Flashback (Field-Tested)","USD",4.28,227.62,28.82,5.97,10
"StatTrak™ M4A1-S | Flashback (Minimal Wear)","USD",6.81,192.76,29.54,10.96,24
"StatTrak™ M4A1-S | Flashback (Well-Worn)","USD",5.36,2246.35,179.39,5.52,13
"StatTrak™ M4A1-S | Golden Coil (Factory New)","USD",399.42,399.42,399.42,399.42,1
"StatTrak™ M4A1-S | Golden Coil (Field-Tested)","USD",162.78,498.58,231.61,210.8,10
"StatTrak™ M4A1-S | Golden Coil (Minimal Wear)","USD",261.19,315.07,289.92,297.51,9
"StatTrak™ M4A1-S | Guardian (Battle-Scarred)","USD",96.37,96.37,96.37,96.37,1
"StatTrak™ M4A1-S | Guardian (Factory New)","USD",110.73,1063.43,255.89,145.62,16
"StatTrak™ M4A1-S | Guardian (Field-Tested)","USD",68.17,1194.87,374.34,100.97,16
"StatTrak™ M4A1-S | Guardian (Minimal Wear)","USD",85.43,954.7,252.83,104.68,13
"StatTrak™ M4A1-S | Guardian (Well-Worn)","USD",71.17,79.82,75.49,75.49,2
"StatTrak™ M4A1-S | Hyper Beast (Battle-Scarred)","USD",120.37,481.9,208.74,123.9,5
"StatTrak™ M4A1-S | Hyper Beast (Factory New)","USD",645.21,657.18,651.19,651.19,2
"StatTrak™ M4A1-S | Hyper Beast (Field-Tested)","USD",116.77,374.4,156.58,127.96,16
"StatTrak™ M4A1-S | Hyper Beast (Minimal Wear)","USD",202.39,332.84,235.47,220.19,15
"StatTrak™ M4A1-S | Hyper Beast (Well-Worn)","USD",115.59,305.21,137.84,120.44,15
"StatTrak™ M4A1-S | Leaded Glass (Battle-Scarred)","USD",18.81,21.51,20.38,20.85,3
"StatTrak™ M4A1-S | Leaded Glass (Factory New)","USD",47.79,204.23,85.43,68.85,29
"StatTrak™ M4A1-S | Leaded Glass (Field-Tested)","USD",18.52,42.86,26.48,23.9,32
"StatTrak™ M4A1-S | Leaded Glass (Minimal Wear)","USD",24.38,71.68,30.85,27.33,25
"StatTrak™ M4A1-S | Leaded Glass (Well-Worn)","USD",23.36,1194.87,317.02,24.94,4
"StatTrak™ M4A1-S | Liquidation (Battle-Scarred)","USD",14.33,25.52,17.13,14.34,4
"StatTrak™ M4A1-S | Liquidation (Factory New)","USD",51.3,79.89,65.6,65.6,2
"StatTrak™ M4A1-S | Liquidation (Field-Tested)","USD",25.79,33.46,28.34,25.79,3
"StatTrak™ M4A1-S | Liquidation (Minimal Wear)","USD",38.65,107.55,60.36,47.79,5
"StatTrak™ M4A1-S | Liquidation (Well-Worn)","USD",9.51,20.3,17.6,20.29,4
"StatTrak™ M4A1-S | Mecha Industries (Battle-Scarred)","USD",107.11,112.35,109.0,107.54,3
"StatTrak™ M4A1-S | Mecha Industries (Factory New)","USD",298.72,337.6,317.66,311.86,5
"StatTrak™ M4A1-S | Mecha Industries (Field-Tested)","USD",115.36,477.95,175.41,132.32,14
"StatTrak™ M4A1-S | Mecha Industries (Minimal Wear)","USD",154.52,286.77,202.89,194.17,12
"StatTrak™ M4A1-S | Nightmare (Factory New)","USD",176.18,423.74,244.27,197.62,7
"StatTrak™ M4A1-S | Nightmare (Field-Tested)","USD",30.29,567.54,54.68,47.78,42
"StatTrak™ M4A1-S | Nightmare (Minimal Wear)","USD",66.84,197.15,101.23,83.77,15
"StatTrak™ M4A1-S | Nightmare (Well-Worn)","USD",27.91,1036.55,169.89,92.88,9
"StatTrak™ M4A1-S | Night Terror (Battle-Scarred)","USD",5.36,145.97,25.38,18.01,34
"StatTrak™ M4A1-S | Night Terror (Factory New)","USD",7.93,405.06,34.87,17.92,115
"StatTrak™ M4A1-S | Night Terror (Field-Tested)","USD",2.46,14.39,3.57,2.98,40
"StatTrak™ M4A1-S | Night Terror (Minimal Wear)","USD",3.85,55.59,8.91,4.76,48
"StatTrak™ M4A1-S | Night Terror (Well-Worn)","USD",3.66,12.14,5.64,3.88,11
"StatTrak™ M4A1-S | Player Two (Battle-Scarred)","USD",65.71,83.64,69.86,65.71,7
"StatTrak™ M4A1-S | Player Two (Factory New)","USD",259.75,1624.22,450.57,358.46,15
"StatTrak™ M4A1-S | Player Two (Field-Tested)","USD",70.31,81.86,75.28,74.64,6
"StatTrak™ M4A1-S | Player Two (Minimal Wear)","USD",119.49,262.86,144.5,131.44,14
"StatTrak™ M4A1-S | Player Two (Well-Worn)","USD",74.82,107.53,86.45,81.72,4
"StatTrak™ M4A1-S | Printstream (Battle-Scarred)","USD",311.93,375.46,342.01,337.68,8
"StatTrak™ M4A1-S | Printstream (Factory New)","USD",1218.73,2031.26,1506.44,1331.66,7
"StatTrak™ M4A1-S | Printstream (Field-Tested)","USD",396.21,716.91,485.33,449.0,29
"StatTrak™ M4A1-S | Printstream (Minimal Wear)","USD",640.09,1327.5,841.44,752.25,18
"StatTrak™ M4A1-S | Printstream (Well-Worn)","USD",358.26,399.49,378.88,378.88,2
"StatTrak™ M4A1-S | Vaporwave (Factory New)","USD",496.4,2389.74,960.81,926.92,17
"StatTrak™ M4A1-S | Vaporwave (Field-Tested)","USD",127.33,1314.89,239.98,152.19,25
"StatTrak™ M4A1-S | Vaporwave (Minimal Wear)","USD",250.16,597.42,326.22,297.56,19
"StatTrak™ M4A1-S | Vaporwave (Well-Worn)","USD",148.03,818.29,388.98,200.61,3
"StatTrak™ M4A4 | Asiimov (Battle-Scarred)","USD",203.13,379.87,269.08,266.46,6
"StatTrak™ M4A4 | Asiimov (Field-Tested)","USD",517.25,1877.31,916.54,746.78,8
"StatTrak™ M4A4 | Asiimov (Well-Worn)","USD",426.56,550.75,468.76,428.96,3
"StatTrak™ M4A4 | Bullet Rain (Factory New)","USD",286.77,1087.21,463.08,302.5,5
"StatTrak™ M4A4 | Bullet Rain (Field-Tested)","USD",93.55,201.13,147.34,147.34,2
"StatTrak™ M4A4 | Bullet Rain (Minimal Wear)","USD",138.59,238.83,173.6,143.38,3
"StatTrak™ M4A4 | Buzz Kill (Battle-Scarred)","USD",84.91,84.91,84.91,84.91,1
"StatTrak™ M4A4 | Buzz Kill (Factory New)","USD",227.29,334.19,287.43,289.52,8
"StatTrak™ M4A4 | Buzz Kill (Field-Tested)","USD",99.52,161.31,120.06,119.96,8
"StatTrak™ M4A4 | Buzz Kill (Minimal Wear)","USD",143.38,464.12,222.58,213.43,11
"StatTrak™ M4A4 | Buzz Kill (Well-Worn)","USD",205.52,216.61,211.06,211.06,2
"StatTrak™ M4A4 | Choppa (Battle-Scarred)","USD",0.18,6.63,0.35,0.2,53
"StatTrak™ M4A4 | Choppa (Factory New)","USD",6.05,40.59,21.24,16.21,27
"StatTrak™ M4A4 | Choppa (Field-Tested)","USD",0.37,4.13,0.75,0.42,151
"StatTrak™ M4A4 | Choppa (Minimal Wear)","USD",1.02,29.87,4.8,4.72,95
"StatTrak™ M4A4 | Choppa (Well-Worn)","USD",0.2,1.91,0.27,0.24,127
"StatTrak™ M4A4 | Cyber Security (Battle-Scarred)","USD",44.34,140.03,97.17,107.13,3
"StatTrak™ M4A4 | Cyber Security (Factory New)","USD",155.94,358.46,220.5,224.87,12
"StatTrak™ M4A4 | Cyber Security (Field-Tested)","USD",35.73,65.6,44.81,38.94,4
"StatTrak™ M4A4 | Cyber Security (Minimal Wear)","USD",68.85,256.72,100.88,84.82,13
"StatTrak™ M4A4 | Cyber Security (Well-Worn)","USD",32.14,136.97,55.57,34.64,5
"StatTrak™ M4A4 | Desert-Strike (Factory New)","USD",85.05,863.56,254.64,128.75,11
"StatTrak™ M4A4 | Desert-Strike (Field-Tested)","USD",44.69,79.9,64.94,67.59,4
"StatTrak™ M4A4 | Desert-Strike (Minimal Wear)","USD",54.87,77.67,70.47,74.67,4
"StatTrak™ M4A4 | Desert-Strike (Well-Worn)","USD",41.41,41.41,41.41,41.41,1
"StatTrak™ M4A4 | Desolate Space (Battle-Scarred)","USD",26.78,41.82,37.17,40.61,7
"StatTrak™ M4A4 | Desolate Space (Factory New)","USD",118.95,192.77,141.62,130.58,8
"StatTrak™ M4A4 | Desolate Space (Field-Tested)","USD",33.05,94.68,55.31,48.37,27
"StatTrak™ M4A4 | Desolate Space (Minimal Wear)","USD",49.99,89.62,58.15,53.77,11
"StatTrak™ M4A4 | Desolate Space (Well-Worn)","USD",27.71,41.47,37.12,37.24,13
"StatTrak™ M4A4 | Etch Lord (Battle-Scarred)","USD",1.52,39.78,4.5,1.84,27
"StatTrak™ M4A4 | Etch Lord (Factory New)","USD",15.33,145.97,37.53,16.2,10
"StatTrak™ M4A4 | Etch Lord (Field-Tested)","USD",1.9,4.78,2.27,2.14,105
"StatTrak™ M4A4 | Etch Lord (Minimal Wear)","USD",4.16,11.47,8.63,11.47,5
"StatTrak™ M4A4 | Etch Lord (Well-Worn)","USD",1.28,4.65,2.1,1.54,51
"StatTrak™ M4A4 | Evil Daimyo (Battle-Scarred)","USD",11.95,21.39,15.13,12.04,3
"StatTrak™ M4A4 | Evil Daimyo (Factory New)","USD",24.36,102.41,51.37,35.52,17
"StatTrak™ M4A4 | Evil Daimyo (Field-Tested)","USD",9.43,47.68,18.56,12.52,20
"StatTrak™ M4A4 | Evil Daimyo (Minimal Wear)","USD",13.63,127.98,32.89,27.36,23
"StatTrak™ M4A4 | Evil Daimyo (Well-Worn)","USD",9.14,22.52,15.87,15.9,4
"StatTrak™ M4A4 | Faded Zebra (Battle-Scarred)","USD",7.21,131.09,62.83,55.98,6
"StatTrak™ M4A4 | Faded Zebra (Factory New)","USD",110.15,5974.34,2077.33,147.48,3
"StatTrak™ M4A4 | Faded Zebra (Field-Tested)","USD",4.72,1881.92,115.93,9.79,53
"StatTrak™ M4A4 | Faded Zebra (Minimal Wear)","USD",12.62,2269.06,401.86,89.5,13
"StatTrak™ M4A4 | Faded Zebra (Well-Worn)","USD",4.84,298.72,83.5,15.21,4
"StatTrak™ M4A4 | Full Throttle (Battle-Scarred)","USD",62.84,160.79,90.42,69.0,4
"StatTrak™ M4A4 | Full Throttle (Factory New)","USD",1185.11,1185.11,1185.11,1185.11,1
"StatTrak™ M4A4 | Full Throttle (Field-Tested)","USD",107.53,358.45,207.98,155.33,9
"StatTrak™ M4A4 | Full Throttle (Minimal Wear)","USD",209.09,298.72,250.22,258.74,5
"StatTrak™ M4A4 | Full Throttle (Well-Worn)","USD",64.32,91.13,82.19,91.13,3
"StatTrak™ M4A4 | Griffin (Battle-Scarred)","USD",11.95,109.47,60.71,60.71,2
"StatTrak™ M4A4 | Griffin (Factory New)","USD",44.19,71.69,58.6,59.25,4
"StatTrak™ M4A4 | Griffin (Field-Tested)","USD",9.56,191.06,52.94,26.75,10
"StatTrak™ M4A4 | Griffin (Minimal Wear)","USD",15.52,98.72,41.31,26.49,8
"StatTrak™ M4A4 | Hellfire (Factory New)","USD",271.92,573.54,371.51,358.45,13
"StatTrak™ M4A4 | Hellfire (Field-Tested)","USD",153.54,278.7,197.3,178.48,4
"StatTrak™ M4A4 | Hellfire (Minimal Wear)","USD",206.65,716.92,303.07,234.16,8
"StatTrak™ M4A4 | Howl (Field-Tested)","USD",7887.0,7887.0,7887.0,7887.0,1
"StatTrak™ M4A4 | Howl (Well-Worn)","USD",21017.74,21017.74,21017.74,21017.74,1
"StatTrak™ M4A4 | In Living Color (Battle-Scarred)","USD",33.13,78.86,58.63,76.79,9
"StatTrak™ M4A4 | In Living Color (Factory New)","USD",162.35,394.32,237.68,194.81,8
"StatTrak™ M4A4 | In Living Color (Field-Tested)","USD",46.34,65.29,55.06,55.45,11
"StatTrak™ M4A4 | In Living Color (Minimal Wear)","USD",66.0,222.53,100.33,83.63,13
"StatTrak™ M4A4 | In Living Color (Well-Worn)","USD",45.4,47.79,46.0,45.4,4
"StatTrak™ M4A4 | Magnesium (Battle-Scarred)","USD",0.75,17.92,1.03,0.85,215
"StatTrak™ M4A4 | Magnesium (Factory New)","USD",15.86,622.53,58.29,24.48,23
"StatTrak™ M4A4 | Magnesium (Field-Tested)","USD",1.54,36.57,3.93,2.02,71
"StatTrak™ M4A4 | Magnesium (Minimal Wear)","USD",3.72,90.58,21.11,11.95,11
"StatTrak™ M4A4 | Magnesium (Well-Worn)","USD",0.84,41.22,2.39,1.0,96
"StatTrak™ M4A4 | Neo-Noir (Battle-Scarred)","USD",39.43,65.87,44.01,41.81,12
"StatTrak™ M4A4 | Neo-Noir (Factory New)","USD",153.62,537.68,254.34,185.2,12
"StatTrak™ M4A4 | Neo-Noir (Field-Tested)","USD",40.09,192.77,64.48,65.11,20
"StatTrak™ M4A4 | Neo-Noir (Minimal Wear)","USD",71.76,179.23,97.93,84.84,13
"StatTrak™ M4A4 | Neo-Noir (Well-Worn)","USD",38.24,51.21,46.47,50.53,5
"StatTrak™ M4A4 | Poly Mag (Battle-Scarred)","USD",0.1,11.35,0.38,0.19,124
"StatTrak™ M4A4 | Poly Mag (Factory New)","USD",2.04,135.02,12.82,8.66,48
"StatTrak™ M4A4 | Poly Mag (Field-Tested)","USD",0.16,8.36,0.74,0.27,294
"StatTrak™ M4A4 | Poly Mag (Minimal Wear)","USD",0.35,8.53,1.51,0.61,243
"StatTrak™ M4A4 | Poly Mag (Well-Worn)","USD",0.11,41.31,0.51,0.18,226
"StatTrak™ M4A4 | Royal Paladin (Factory New)","USD",300.49,1194.87,594.22,474.36,5
"StatTrak™ M4A4 | Royal Paladin (Field-Tested)","USD",83.8,99.32,94.55,96.04,6
"StatTrak™ M4A4 | Royal Paladin (Minimal Wear)","USD",128.48,298.72,215.06,238.96,8
"StatTrak™ M4A4 | Spider Lily (Battle-Scarred)","USD",14.14,23.89,17.9,17.25,9
"StatTrak™ M4A4 | Spider Lily (Factory New)","USD",115.9,277.56,181.27,119.49,5
"StatTrak™ M4A4 | Spider Lily (Field-Tested)","USD",15.51,77.67,26.57,21.54,22
"StatTrak™ M4A4 | Spider Lily (Minimal Wear)","USD",37.64,82.15,56.33,59.73,16
"StatTrak™ M4A4 | Spider Lily (Well-Worn)","USD",15.55,15.55,15.55,15.55,1
"StatTrak™ M4A4 | Temukau (Battle-Scarred)","USD",35.85,71.07,53.66,54.29,8
"StatTrak™ M4A4 | Temukau (Factory New)","USD",218.52,1196.06,509.43,431.78,19
"StatTrak™ M4A4 | Temukau (Field-Tested)","USD",40.59,102.41,60.76,56.57,18
"StatTrak™ M4A4 | Temukau (Minimal Wear)","USD",87.7,477.94,129.3,108.26,24
"StatTrak™ M4A4 | Temukau (Well-Worn)","USD",38.58,71.68,56.64,57.34,10
"StatTrak™ M4A4 | The Battlestar (Battle-Scarred)","USD",87.62,87.62,87.62,87.62,1
"StatTrak™ M4A4 | The Battlestar (Factory New)","USD",120.0,242.76,146.6,128.54,6
"StatTrak™ M4A4 | The Battlestar (Field-Tested)","USD",41.31,48.98,45.48,45.54,5
"StatTrak™ M4A4 | The Battlestar (Minimal Wear)","USD",55.07,87.03,69.27,65.71,3
"StatTrak™ M4A4 | The Battlestar (Well-Worn)","USD",39.93,39.93,39.93,39.93,1
"StatTrak™ M4A4 | The Emperor (Battle-Scarred)","USD",77.67,77.67,77.67,77.67,1
"StatTrak™ M4A4 | The Emperor (Factory New)","USD",429.99,1963.83,616.37,474.23,11
"StatTrak™ M4A4 | The Emperor (Field-Tested)","USD",70.49,191.12,97.97,77.5,10
"StatTrak™ M4A4 | The Emperor (Minimal Wear)","USD",140.49,358.46,215.2,203.12,9
"StatTrak™ M4A4 | The Emperor (Well-Worn)","USD",59.74,66.15,62.79,63.09,5
"StatTrak™ M4A4 | Tooth Fairy (Battle-Scarred)","USD",10.24,145.97,37.36,23.87,8
"StatTrak™ M4A4 | Tooth Fairy (Factory New)","USD",26.19,242.53,63.96,38.45,29
"StatTrak™ M4A4 | Tooth Fairy (Field-Tested)","USD",10.72,163.58,105.33,144.99,20
"StatTrak™ M4A4 | Tooth Fairy (Minimal Wear)","USD",17.67,623.72,46.46,17.67,27
"StatTrak™ M4A4 | Tooth Fairy (Well-Worn)","USD",10.08,10.08,10.08,10.08,1
"StatTrak™ M4A4 | Turbine (Battle-Scarred)","USD",3.24,5.88,4.13,3.9,18
"StatTrak™ M4A4 | Turbine (Factory New)","USD",28.68,51.96,37.4,35.71,14
"StatTrak™ M4A4 | Turbine (Field-Tested)","USD",3.72,7.17,4.52,4.05,30
"StatTrak™ M4A4 | Turbine (Minimal Wear)","USD",9.21,36.03,16.14,14.14,13
"StatTrak™ M4A4 | Turbine (Well-Worn)","USD",4.98,5.84,5.42,5.45,4
"StatTrak™ M4A4 | X-Ray (Factory New)","USD",175.96,261.62,205.27,190.09,6
"StatTrak™ M4A4 | X-Ray (Minimal Wear)","USD",163.85,163.86,163.85,163.85,3
"StatTrak™ M4A4 | Zirka (Field-Tested)","USD",48.51,302.92,127.38,91.89,8
"StatTrak™ M4A4 | Zirka (Minimal Wear)","USD",48.95,450.55,188.8,109.98,10
"StatTrak™ M4A4 | Zirka (Well-Worn)","USD",40.11,45.05,42.59,42.59,2
"StatTrak™ M4A4 | 龍王 (Dragon King) (Factory New)","USD",109.68,297.0,169.84,164.29,10
"StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested)","USD",39.37,183.13,54.71,46.16,15
"StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear)","USD",54.84,200.09,84.82,71.68,30
"StatTrak™ M4A4 | 龍王 (Dragon King) (Well-Worn)","USD",41.92,41.92,41.92,41.92,1
"★ StatTrak™ M9 Bayonet","USD",896.15,896.15,896.15,896.15,1
"★ StatTrak™ M9 Bayonet | Autotronic (Field-Tested)","USD",906.37,906.37,906.37,906.37,1
"★ StatTrak™ M9 Bayonet | Autotronic (Minimal Wear)","USD",1280.18,1608.25,1444.21,1444.21,2
"★ StatTrak™ M9 Bayonet | Black Laminate (Battle-Scarred)","USD",983.28,983.28,983.28,983.28,1
"★ StatTrak™ M9 Bayonet | Black Laminate (Field-Tested)","USD",573.54,1015.64,751.0,663.81,3
"★ StatTrak™ M9 Bayonet | Black Laminate (Minimal Wear)","USD",640.92,640.92,640.92,640.92,1
"★ StatTrak™ M9 Bayonet | Blue Steel (Well-Worn)","USD",568.42,568.42,568.42,568.42,1
"★ StatTrak™ M9 Bayonet | Bright Water (Factory New)","USD",921.72,921.72,921.72,921.72,1
"★ StatTrak™ M9 Bayonet | Bright Water (Field-Tested)","USD",384.37,384.37,384.37,384.37,1
"★ StatTrak™ M9 Bayonet | Case Hardened (Minimal Wear)","USD",1089.68,2542.27,2007.24,2389.74,3
"★ StatTrak™ M9 Bayonet | Doppler (Factory New)","USD",1105.24,2389.72,1481.73,1250.94,5
"★ StatTrak™ M9 Bayonet | Doppler (Factory New)","USD",1686.31,3754.6,2312.76,2091.02,6
"★ StatTrak™ M9 Bayonet | Doppler (Factory New)","USD",1911.73,3583.41,2747.58,2747.58,2
"★ StatTrak™ M9 Bayonet | Doppler (Minimal Wear)","USD",2005.51,2005.51,2005.51,2005.51,1
"★ StatTrak™ M9 Bayonet | Fade (Factory New)","USD",1493.59,1672.8,1583.2,1583.2,2
"★ StatTrak™ M9 Bayonet | Forest DDPAT (Battle-Scarred)","USD",407.04,407.04,407.04,407.04,1
"★ StatTrak™ M9 Bayonet | Forest DDPAT (Well-Worn)","USD",362.83,362.83,362.83,362.83,1
"★ StatTrak™ M9 Bayonet | Freehand (Factory New)","USD",734.69,734.69,734.69,734.69,1
"★ StatTrak™ M9 Bayonet | Freehand (Minimal Wear)","USD",501.83,501.83,501.83,501.83,1
"★ StatTrak™ M9 Bayonet | Gamma Doppler (Factory New)","USD",1702.68,1728.5,1715.59,1715.59,2
"★ StatTrak™ M9 Bayonet | Gamma Doppler (Factory New)","USD",5120.72,5120.72,5120.72,5120.72,1
"★ StatTrak™ M9 Bayonet | Gamma Doppler (Factory New)","USD",1654.68,2270.25,1962.46,1962.46,2
"★ StatTrak™ M9 Bayonet | Lore (Battle-Scarred)","USD",500.65,500.65,500.65,500.65,1
"★ StatTrak™ M9 Bayonet | Lore (Factory New)","USD",2736.25,2736.25,2736.25,2736.25,1
"★ StatTrak™ M9 Bayonet | Lore (Field-Tested)","USD",621.33,664.18,648.89,661.14,3
"★ StatTrak™ M9 Bayonet | Lore (Minimal Wear)","USD",971.49,1792.25,1381.88,1381.88,2
"★ StatTrak™ M9 Bayonet | Marble Fade (Factory New)","USD",932.0,1792.3,1246.59,1131.05,4
"★ StatTrak™ M9 Bayonet | Night (Minimal Wear)","USD",597.43,597.43,597.43,597.43,1
"★ StatTrak™ M9 Bayonet | Rust Coat (Battle-Scarred)","USD",501.81,501.81,501.81,501.81,1
"★ StatTrak™ M9 Bayonet | Safari Mesh (Minimal Wear)","USD",467.06,467.06,467.06,467.06,1
"★ StatTrak™ M9 Bayonet | Scorched (Well-Worn)","USD",505.97,505.97,505.97,505.97,1
"★ StatTrak™ M9 Bayonet | Slaughter (Factory New)","USD",1598.34,1598.34,1598.34,1598.34,1
"★ StatTrak™ M9 Bayonet | Stained (Field-Tested)","USD",470.37,561.59,515.98,515.98,2
"★ StatTrak™ M9 Bayonet | Stained (Minimal Wear)","USD",1376.92,1376.92,1376.92,1376.92,1
"★ StatTrak™ M9 Bayonet | Tiger Tooth (Factory New)","USD",1283.29,1283.29,1283.29,1283.29,1
"StatTrak™ MAC-10 | Allure (Battle-Scarred)","USD",0.67,2.44,0.9,0.86,48
"StatTrak™ MAC-10 | Allure (Factory New)","USD",8.99,110.72,24.47,10.25,11
"StatTrak™ MAC-10 | Allure (Field-Tested)","USD",0.73,42.02,2.17,0.86,105
"StatTrak™ MAC-10 | Allure (Minimal Wear)","USD",1.57,36.67,5.75,2.0,22
"StatTrak™ MAC-10 | Allure (Well-Worn)","USD",0.68,2.15,0.9,0.75,67
"StatTrak™ MAC-10 | Aloha (Battle-Scarred)","USD",4.17,4.22,4.19,4.19,2
"StatTrak™ MAC-10 | Aloha (Factory New)","USD",9.02,143.26,53.18,40.85,11
"StatTrak™ MAC-10 | Aloha (Field-Tested)","USD",4.65,11.51,6.86,5.63,4
"StatTrak™ MAC-10 | Aloha (Minimal Wear)","USD",8.36,19.27,14.24,14.67,4
"StatTrak™ MAC-10 | Button Masher (Battle-Scarred)","USD",0.66,9.28,1.59,1.1,30
"StatTrak™ MAC-10 | Button Masher (Factory New)","USD",5.57,43.67,18.44,11.65,8
"StatTrak™ MAC-10 | Button Masher (Field-Tested)","USD",0.73,20.48,1.71,1.03,54
"StatTrak™ MAC-10 | Button Masher (Minimal Wear)","USD",1.57,31.15,3.38,2.01,30
